galery_name,city_name,exhibition_link,exhibition_image_link,artist_name,artist_link,exhibition_description,exhibition_name,galery_adress,open hours,time_period
A.I.,London,https://www.galleriesnow.net/shows/after-the-rain/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Yuki Nakayama,https://www.galleriesnow.net/artist/yuki-nakayama/,"HOP，SKIP，JUMP，SWING，>>> S>>> >> L>>> >>> >>> I>>> >>> >>> >>> D>>> >>> >>> >>> >>> >>> EAfter the Rain explores the dynamic relationship between space, play and decision-making in emphasising how spatial elements influence our actions and outcomes. For the realisation of this project, the artist responded to the architecture of the gallery space and in particular, its subterranean swimming pool manifesting in larger-than-life structures and sculpted mounds of playground sand set against a five metre topographical painting.About the artistNakayama’s works are a dialogue between objects in space as she explores the movement of stillness and its playful act. Using superimposed perspectives, her paintings explore the stillness of an object, its volume, and its environment. Each character has its own rhythm, claiming their relationships to one another. The objects are the pivoting points in which the shadows explore the crevices of its surroundings. They absorb and reflect like sound travelling between and within. Inviting the eyes to fluidly change in scale as one moves through and beyond.In 2008, Nakayama decided to move to New York to pursue her passion for the arts. She is a graduate from Parsons the New School for Design and The Cooper Union, where she studied architecture.",Yuki Nakayama: After the Rain,"1a Tenter Ground, E1 7NH",Wed-Sat 12-5pm, 14 Mar  - 2 Jun 2024  
Alice Amati,London,https://www.galleriesnow.net/shows/yi-to-to-be-dispersed-not-to-disappear/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Yi To,https://www.galleriesnow.net/artist/yi-to/,"The metaphor of excavation plots the line of enlightenment. Ours has been a constant search for the grammar of life: methods by which we can extract sense from non-sense, decipher meaning from chaos, find vocabulary for the wisps we once resorted to calling ‘ghosts’. In its making visible the invisible, the act of excavation seeks to rescue the intelligible from the darkness of ignorance by reconstituting, piecemeal, fossilised memory. So begins the philosophical conundrum in which Hong Kong born artist Yi To prefigures the materiality of fragmented body, and its reappearance in the virtual as sign.What happens with the immense onslaught of time, its unerring passage? A document, artefact or vestige of life that endures erasure appeals to the unconscious vis a vis aesthetic sensibility before anything else. Like To’s work, that which issues from bygone eras hovers someplace between figuration and abstraction, and occasions a reading that relies, firstly, on intuition. From the presence of the golden spiral in the human ear, to the ability of an amoeboid organism to solve a maze, to the sophistication of the self-assembling flagellum, the wonderment in intuition is perhaps its intimation of intelligent design.To’s intervisuality is thus a holding-in-contradiction of both the spectacle of discovery and the withdrawal of nether worlds that cannot fully be known. Her paintings, with their shadowy forms rendered in thin washes, beget a fragility. They take on the propositional aspects of loss, an eclipse’s negative memory; as with the yet-to-be-discovered relic, what results is the invocation of a waiting. What of the total indifference of these subjects to the indefatigable curiosity of the present? What of the misapprehension of a cave painting that derails studies of early life for another thousand years?The fascination of To in working with the ambiguity of primary forms suggests we approach the mystery of the world as either encrypted, veiled, or an illusion requiring some kind of denudation. Her specific choice of overcast palette – be it soft Verdigris, greying mould, or healing bruise – confounds the interpreter’s authority to strip or lay bare. In Buddhist culture, depictions of young female corpses represent impermanence and the ephemeral nature of identity coherence: the contemplation of their splayed bodies has everything to do with denudation, deconstruction and dispersal. If To’s work is ‘a thought experiment turning the body inside out’, then the significance of this reference is in its anxiety-ridden becoming: from intellectually-bound life to its transformation into bone, gristle and, ultimately, effervescent sign. For the body transcended is precisely what permits its crossing realms human and non-human. Spanning time and space, To’s intervisuality comes to bear in another speculative gesture: a series of spindly sculptures suggestive of techno-syncretic fossils that, like interpretation, is capable of endless recombination given time.A thing of absurd misfortune is that interpretation is the essence of our study, yet at the same time unavoidably perverts it. This, To’s practice works with: achingly unanswerable questions, adumbrate shapes that may withstand temporal wearing, but are otherwise unable return to Earth as concrete form. In To’s work, it is therefore only absence that proposes itself, and must then lay in wait. Nothing to be done. So begins Samuel Beckett’s existential two-act deadlock Waiting for Godot, never so aptly summed as: ‘in which nothing happens. Twice.’Text by Elaine ML Tam","Yi To: To be dispersed, not to disappear","27 Warren Street, W1T 5NB","Wed-Fri 11am-6pm, Sat 12-5pm", 31 May  - 6 Jul 2024  
Alma,London,https://www.galleriesnow.net/shows/blckgeezer-black-nausea-24/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",BLCKGEEZER,https://www.galleriesnow.net/artist/blckgeezer/,"Following the experience of personal illness, BLCKGEEZER expands on and develops an extensive engagement with the writings of Jean Paul Sartre and Franz Fanon importantly shot through the prism of Lola Olufemi’s powerful Experiments in Imagining Otherwise, which the author positions as “a book of failure and mistake; it begins with what is stolen from us and proposes only an invitation to imagine.” The works BLCKGEEZER has produced here begin by invoking powerful themes surrounding maternal instincts to feed and nurture, fertility as well as explorations of mother-child iconography. These paintings then go further to explore ‘Black’ not merely as a form of resistance, but as a material expression of existential persistence and do so with wisdom, wit, rage, humour, and generosity.The concept ‘Black Nausea’ is a term coined by the artist. Black–its associative bond animating the term nausea–creates an uneasiness that offers a transformative state, perhaps even a new trajectory for the lived experience. In the artist’s own words: “I came up with ‘Black Nausea’ after my experience of chemotherapy. It is an ongoing speculation and pillar. I’m thinking about the unease and discomfort of black… I think black nausea is a space for me to think, question, and speculate, there’s no right or wrong.” The painting Barren Cassareep evinces a sense of play echoed in numerous nuances present in BLCKGEEZER’s work. Barren, which connotes infertility, is a play on the word baron–a reference to the Caribbean cooking sauce comprised of black liquid. A key here is the connection between forms and materialities–all that is produced through contact–a sweat that is at once bodily, experiential, conceptual, and existential.Another conceptual neologism BLCKGEEZER has coined is ‘Breastistentialism’. Central to this work is aligning thought and imagination to question existence from a new perspective, one that is otherwise and ‘breast-centred’ and holds everything at stake. The proposition: black, breast, and blackness as abstraction that comes forward as a method and mode–a way of being in the world–to think other than the dominant and prescribed in a nuanced perspective.ABOUT THE ARTISTBLCKGEEZER aka Miya Jazmin Browne (b. 1997) is an artist born and based in London. BLCKGEEZER holds a BA from the University of Westminster (2020) and an MA in Painting from the Royal College of Art, London (2023), and was the recipient of the Sir Frank Bowling Scholarship (2022-2023) as well as the Chadwell Award 2023. Recent exhibitions include MANIFOLD DELUXE at No.9 Cork Street (2023); BUFFER 2, Guts Gallery (2023); and Transforming Legacies at Black Cultural Archives (2022), an exhibition looking at Black British Art history curated by Pacheanne Anderson.",BLCKGEEZER: Black Nausea / 24,"Unit T, Reliance Wharf, 2-10 Hertford Road, N1 5ET",Wed-Sat 12-6pm, 31 May  - 22 Jun 2024  
Amanda Wilkinson,London,https://www.galleriesnow.net/shows/shimabuku-land-art/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Shimabuku,https://www.galleriesnow.net/artist/shimabuku/,"Erect2017Reborn Art FestivalAyukawa, Ishinomaki, MiyagiPlacing things upright.  Placing the things lying down upright.  Placing the trees and stones that lie on the beach upright.  With the collaboration of many people, we will place many things in an upright position.  We will also try to put our energy together to place huge driftwood in an upright position.  Our actions should make something that lies in our hearts stand up in an upright position as well.The White Road2019Reborn Art FestivalAyukawa, Ishinomaki, MiyagiThe white road passes through the trees and extends to the sky and the sea.Mt. Kinka approaches, where you can see the waves, where the birds are playing.A place to meet and discover nature again.Necklace: Carrying Stones up the Mountain2021Kunisaki Peninsula Culture Tourism Promotion ProjectMt. Gion, Kunisaki, OitaThe Kunisaki Peninsula, which protrudes into the sea like a parabolic antenna, has historically been a destination for a variety of cultures and objects arriving from all quarters. I thought of this as I carried stones from Okinawa and Setouchi across the sea, from Hokkaido, and used them to create a circle on top of the mountain: a necklace dedicated to Mt. Gion.My hope is that as people come here, as people climb the mountain, the number of stones will grow and the necklace will flourish, becoming ever-living.BED PEACE after 55 years2024Soil from two distant places, each placed in the shape of a person. The meeting of soil and earth. The honeymoon of soil.As I looked at them, I suddenly remembered the saying that people die and return to the soil. Maybe these two people of soil were really people.I also realised that I had seen these two people somewhere sometime - John and Yoko at the Hilton Hotel, Amsterdam, 1969. The year I was born was right in the middle of the Vietnam War, but 55 years later, fighting is still going on in many parts of the world. BED PEACE after 55 years.Snowman Honeymoon2023Lake Towada, AomoriLong since disused, hotels in the north country are still below freezing in winter, even in the rooms, when the snow piles up. Two snowmen in a suite overlooking a snowy lake. Honeymoon of the snowmen. The snowmen did not melt during the winter and continued to sleep there.",Shimabuku: Land Art,"1st Floor, 47 Farringdon Road, EC1M 3JB","Wed-Fri 12-6pm, Sat 12-5pm", 13 Apr  - 2 Jun 2024  
Annka Kultys Gallery,London,https://www.galleriesnow.net/shows/signe-pierce-4/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Signe Pierce,https://www.galleriesnow.net/artist/signe-pierce/,,Signe Pierce,"472 Hackney Road, Unit 9, E2 9EQ",Wed-Sat 12-6pm, 31 May  - 27 Jul 2024  
Annka Kultys Gallery,London,https://www.galleriesnow.net/shows/christiane-peschek/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Christiane Peschek,https://www.galleriesnow.net/artist/christiane-peschek/,"“The entire world has been turned into a well-fitted mask for the human face,” reflects theorist Carl Olsson in his essay “Peak Face” (2023). “The world is a Facehugger.” From the Cambrian Explosion to deepfakes, Olson analyses the history and seeming end of the face as the ultimate interface, given the ease with which this platform can be co-opted, manipulated and artificed through digital technologies. From this POV, it’s as if the ultimate paradigm of our individuality our face—has been stripped of any currency at all. But perhaps there’s something else of value in the anonymous swarm intelligence of a post-facial future?At ANNKA KULTYS GALLERY in London, Austrian artist Christiane Peschek presents The Girls Club, a suite of digitally-manipulated selfies that reflect the uncanny powers of a femme face that refuses recognition. Thirteen meticulously-crafted hand-dyed silk works mounted to aluminum frames are enshrined by a black vinyl wall installation that bears the phrase “The Girls Club”. The images, which are all characterised by deep-fried edits to a series of self-portraits taken on the artist’s iPhone, collapse the face into an abstract field of material data, one that can refuse the superstructures of capital and identity that augured it.“Using silk as a carrier for my images is a reference to the human skin,” Peschek explains in an interview. “Its fragile and delicate characteristic is a beautiful contrast to the hard surface of the touchscreen.” With a background in advertising, the artist has a keen understanding of material driven affect, even while her work takes aim at larger social, cultural, and technological systems that underpin the consumption of images online. With The Girls Club, an ongoing project since 2019, Peschek focuses on the eternal quest for self-presentation within virtual social environments. Drawing on photo editing and retouching tools, Peschek merges her own selfies with an ever-expanding archive of imagery culled from various social media feeds.Like many synthetic intelligence models including the generative adversarial networks (GANs) utilised to generate deepfakes—a digitally manipulated media that replaces one person with the likeness of another—Peschek’s girls are iterative, emerging from a source image that has been modified hundreds of times. The source image in question is the selfie; yet blurred beyond recognition, identity fractures and splits into multitudes.In Peschek’s hands, the selfie becomes less a projection of the self than an abstracted “internet gaze” and a critique of the algorithmic beauty systems that undergird it. Aesthetically, Peschek’s work is something of a paradox: the soft and gauzy imagery belies the aggressive bordering on obsessive treatment of the image, often spawned from pushing an editing tool to its extreme by reapplying it up to a hundred times. In this militant spiral, a popular blurring filter—typically used to conceal blemishes and other imperfections—first enhances the beauty of the face before annihilating it altogether in a wash of abstraction. Here faces are atmospheres, split into their melted composite parts. Mouths appear as gargantuan grimacing slashes: Cheshire cat-like, sinister. Eyes are always shut and often flattened. Very rarely does a baseball hat or some other accessory enter the scene. The rest of the face evades perception, becoming landscape.Enshrined by these digitally-rendered mutations and variations of the self, Peschek’s girls club is partially a series of self-portraits; equally depersonalised, the girl in question here is also all of us. This ideology echoes the argument of theorist Alex Quicho, whose essay “Everyone is a girl online” charts a new politics of “being girl”. Here, girl as collective consciousness (colloquially known as ‘girlswarm’) is both a recognition of the interlocking axes of power, desire, and capital laminated onto all of us (cis men, too, you’re also girls), and a polyvocal war cry for something beyond.Within her practice, Peschek talks about the phenomenon of “becoming image”—this notion follows Quicho’s girlstack, where one may sub for the techno-armageddon in order to collapse the system from inside it. Returning to Olsson’s peak face, the author suggests that perhaps “defacing” the world may be a chance to rescue ourselves from the financialized weapon suite of the facial platform. Likewise, with the infinitely expanding swarm intelligence of Peschek’s The Girls Club—flattened icons who evade their own humanness as much as they reject the financialisation of e-femininity—we see a similar spirit of refusal.“Soon, we might be able to look in the mirror and ask ourselves, earnestly, ‘Do we really need this?” Olsson proclaims his vision of a post-facial future. Peschek’s girls critically anticipate that mirror stage; these “supra-individual” portraits refuse the notion of the bounded self as much as they reject the genre of portraiture, ultimately delivering an exit strategy from the superstructures that got us here in the first place. To become unrecognizable is also to become ungovernable; to become girl, in Peschek’s distorted photographic image, is to become an edgeless swarm that critiques its confines while imagining worlds beyond representation.ARTIST INFORMATIONChristiane Peschek is an artist broadly interested in questions of identity and aesthetics online. Since 1996, she has maintained an archive of selfies that are directly utilised in her work and can be understood as the backbone of her creative practice. Spanning painting, printmaking, sculpture, and multisensory installation, Peschek’s practice skewers the historical weight of the portrait genre, subjecting it to the ebbs and flows of digital production, optimisation, and curation of the self as the ultimate currency. Drawing on digital retouching and editing tools, as well as the intimacy of the interface, Peschek’s practice critiques the fantasy of these online representations while also speculating on a world where the commercialisation of online identity can be eluded through the glitch and blur.Born in 1984, the artist studied at the Academy of Fine Arts in Vienna. She has shown internationally at galleries and institutions such as ANNKA KULTYS GALLERY, Kunstmuseum Celle, the NRW Forum Düsseldorf, Museum MARTA, U10 Belgrade, UNSEEN Amsterdam, Salzburger Kunstverein and Benaki Museum Athens.Peschek was awarded with several international prices such as the UNSEEN Tesla Art Trail award, honor price of Emergentes DST and the state scholarship for photography by the Austrian Government.Her works are found in collections such as ING DiBa Art Collection, the Museum of Modern Art Salzburg, the Artothek at Belvedere21 Vienna and the Kupferstichkabinett Vienna.",Christiane Peschek: The Girls Club,"472 Hackney Road, Unit 9, E2 9EQ",Wed-Sat 12-6pm, 31 May  - 27 Jul 2024  
Arcade,London,https://www.galleriesnow.net/shows/been-waiting-for-the-rain-to-flow/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,Can Altay: Been Waiting for the Rain to Flow,"Flat Time House, 210 Bellenden Road, SE15 4BW","LGW opening times (31 May - 2 Jun): Fri & Sat 11am-6pm, Sun 12-5pm", 31 May  - 7 Jul 2024  
Arusha Gallery,London,https://www.galleriesnow.net/shows/naomi-workman-and-plum-cloutman-mythic-from-the-pacific-pissing-on-the-inferno/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Naomi Workman,https://www.galleriesnow.net/artist/naomi-workman/,,Naomi Workman and Plum Cloutman: Mythic from the Pacific / Pissing on the Inferno,"6 Percy Street, W1T 1DQ",Mon-Sat 11am-6pm, 31 May  - 22 Jun 2024  
ATLAS Gallery,London,https://www.galleriesnow.net/shows/terence-donovan/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Terence Donovan,https://www.galleriesnow.net/artist/terence-donovan/,"Terence Donovan came to prominence in London as part of a post-war renaissance in art, design and music, and represented a new force in fashion and, later, advertising and portrait photography. Showcasing some of his iconic 1960s photographs, his impeccable fashion and advertising images, as well as powerful photo-essays documenting life in London, personal projects and nudes, this exhibition reveals an unexpected range of work from one of the foremost photographers of his generation.Exquisite and rare, signed life-time and vintage prints, unique 6x6cm contact prints and numbered silver gelatin estate prints are on display and available to collectors. A selection of rarely seen abstract black and white paintings inspired by Japanese calligraphy will be exhibited alongside his photographs for the first time.Born into a working class family in East London, Donovan was fascinated by photography and printmaking from an early age. His professional photographic life started at the age of 11 with an apprenticeship at the London School of Photo-Engraving. He left at 15 to become a photographer’s assistant before opening his own studio in 1959 at the age of 22. He was immediately sought after by a range of clients, including leading advertising agencies and fashion and lifestyle magazines of the time, including Vogue, Harper’s Bazaar and Elle (France).Part of a working class influx into the previously rarefied worlds of fashion, media and the arts, Donovan’s iconoclastic and sometimes irreverent photography established a new visual language rooted in the world he knew best – the streets of London’s East End. Taking his models to bomb-ravaged wastegrounds or balancing them off industrial building sites, his gritty and noir-ish style was more like reportage than fashion photography.In the 1970s Donovan concentrated more specifically on advertising photography and moving image work but the late 1980s and early 1990s marked a return to stills photography, revisiting black and white film, his preferred medium during the early years of his career.A selection of unique, vintage silver gelatin contact prints are also on display. These small photographs are made by laying the negative directly onto the surface of the light sensitive paper. Terence Donovan was known for meticulously reviewing his contact sheets, indicating his selected frames by piercing them with a pen or marking them with a chinagraph pencil. He discarded the contact prints of the frames he did not want used, keeping only those that he felt good enough to print or publish.These small, original contact prints of single frames (some more than sixty years old) were kept with his negatives and remain in his archive. They tell the story of their history, bearing crop marks, printing instructions or layout comments. As well as being beautiful objects in their own right, they present an important insight into Terence Donovan’s working process and provide information about which shots he felt were most successful from the many hundreds of thousands of photographs he took.Donovan was at the heart of a British fashion photography movement that exploded onto the scene in the 1960s. A unique set of nine vintage contact prints depicting fellow photographers and artists will also be on view. This exceptional series of nine prints captures major figures in British photographic history who were not only Donovan’s professional peers, but also close friends.This group of nine will premiere on our booth (G15) at Photo London (15 - 19th May 2024).Terence Donovan photographed many artists, models, singers and actors, from Jimi Hendrix, to Twiggy, to Cindy Crawford, to Stella Tennant. Gifted with an unerring eye for the iconic as well as the transformative, Donovan was a master of his craft, who pushed the limits of what was possible with a camera.In 1960, Terence Donovan was commissioned by Tom Wolsey, the renowned Art Director of ‘Man About Town’ magazine (subsequently ‘About Town’ and then ‘Town’) to do a photo-essay on an artist’s co-operative in the then run-down area of Notting Hill: The Lay About Life. This influential photo-essay exemplifies a lesser known aspect of Donovan’s oeuvre, away from the glamour and bright lights of the world of high fashion. It demonstrates his particular visual sensitivity and ability to empathise and immerse himself in other people’s lives.Despite his famously wide-ranging and diverse interests, Donovan’s passion for photography remained undiminished throughout his long career. Early in his career he told a young Jean Shrimpton:‘Photography fascinates me. Instant fascination every time. When the fascination leaves me, I’ll give it up.’In his later years, Donovan developed a love of painting and created vast abstract canvases, some of which are inspired by Japanese calligraphy. A selection are shown alongside his photographs at the Gallery.","Terence Donovan: Full Frame, Photographs & Paintings","49 Dorset Street, W1U 7NF","Mon-Fri 10am-6pm, Sat 11am-5pm", 24 May  - 7 Sep 2024  
Bartha Contemporary,London,https://www.galleriesnow.net/shows/malene-birger-florian-baudrexel-and-beat-zoderer-a-joint-exhibition-with-wellwood-gallery/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Malene Birger,https://www.galleriesnow.net/artist/malene-birger/,"The acclaimed fashion designer, known for her uncompromising style and Scandinavian sensibility, will exhibit a series of recent paintings. Their strong graphical appearance and monochromatic colour pallet are informed by the artist’s experience as a self-proclaimed nomad. Here, the artist’s ability to bring storytelling into a modernist context is motivated by her travels and encounters. Indeed, the ebb and flow of her life is reflected in the often highly textured and layered works.Florian Baudrexel’s ongoing cardbirds series offers a similar approach. Embracing the formal language of modernism, the artist constructs sculptural forms from individual elements made from discarded cardboard packaging. The self-coloured works employ a strong geometric vocabulary, subverted by printed text or marks and wear from their former use. The play between found materials and the notion of ready-made and architectural forms unite to create engaging sculptures that suggest movement.Similarly, Beat Zoderer’s paintings are also constructed in a layered approach that articulates linear, wedge-like bars of colour that traverse over the picture plane; as one angular shape ends, the next reverses, either in a closely stacked zig-zag that pushes to the edge of the work or evolves at different angles, influenced solely by the artist’s inherent understanding of composition. Zoderer’s distinct colour pallet is loosely applied, resulting in opaque layers of colour. The works suggest a space that reflects an idiosyncratic painting approach, reflecting the artist’s interest in sculptural form.","Malene Birger, Florian Baudrexel and Beat Zoderer - A joint exhibition with Wellwood Gallery","7 Ledbury Mews North, Notting Hill, W11 2AF",By Appointment, 25 May  - 2 Jun 2024  
