galery_name,city_name,exhibition_link,exhibition_image_link,artist_name,artist_link,exhibition_description,exhibition_name,galery_adress,open hours,time_period
Babst,Los Angeles,https://www.galleriesnow.net/shows/athena-latocha-sarah-m-rodriguez/,https://www.galleriesnow.net/wp-content/uploads/2024/02/Babst-Gallery-1.jpg,Athena LaTocha,https://www.galleriesnow.net/artist/athena-latocha/,,Athena LaTocha / Sarah M. Rodriguez,"413 South Fairfax Avenue, CA 90036",Tue-Sat 12-5pm & by appointment, 8 Jun  - 3 Aug 2024  
Carpenters,Los Angeles,https://www.galleriesnow.net/shows/vincenzo-de-cotiis-crossing-over/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Vincenzo De Cotiis,https://www.galleriesnow.net/artist/vincenzo-de-cotiis/,"This collection introduces a series of sculptural works that delve into the realms of form and material, employing a palette of dark monochromes, organic compositions, and raw expression. The pieces invite viewers to engage with themes of migration and cultural hybridity, emerging as an artistic odyssey into the aesthetics of contemporary urban life. The dynamic interplay of diverse cultures within these spaces are seen through anatomies that could be plucked from the Los Angeles environment or from the depths of an artist’s laboratory.Although differing significantly from his recent collections Archaeology of Consciousness and Éternel, Crossing Over continues the artist’s signature expression of recycled surfaces. The recovery of materials is a fundamental part of the development of Crossing Over and becomes its primary creative act. Hand-painted recycled fibreglass, semi-precious stones and metals combine in a new assembly of processes and contribute to a new organicity, as seen in De Cotiis’s distinct and monumental cabinets. The DC2117 Cabinet (2012), for example, is constructed of hand-painted fiberglass and German silver, the black façade presented as a shard of ancient material on a modern scale. These pieces are geometric and avant-garde, poetically brutalist and functionally simple – a meeting point that embraces the clash between urbanisation and the natural world.In other works, De Cotiis’ Neo-Primitive low tables are rooted to the ground like sturdy thrones; notable works include the DC2203B Side Table (2020), made from Malachite Challant marble, with opposing textures of hand-painted fiberglass, and the DC2211 Side Table (2022), which features contrasting materials and patterns cascading like the depths of the ocean. The DC1924 Floor Lamp (2019) consists of angular neon lights encapsulated in antiquated glass tubes and set in a polished and cast brass frame, a material that’s come a signature of the artist. Each piece demonstrates De Cotiis’ introspection into linguistics, perception and materiality.Crossing Over resembles the work of an anthropologist who, through the study of cultures and traces, combines the differences and similarities within a given period.  De Cotiis thinks of pure time as perpetual, absent from our world that’s saturated with images, simulacra, and reconstructed realities. Crossing Over becomes a nuanced tapestry, weaving together the intricate threads of temporal diversity and the timeless purity of existence.De Cotiis comments: “Crossing Over is a journey, an exploration in search of places that I have seen and spaces that exist in my imagination. I have pursued cultures in search of symbols and iconographies that overlap with mine. It is research on contamination. All that is layered inside me, which belongs to me, but above all, what I still haven’t yet encountered.”",Vincenzo De Cotiis: Crossing Over,"7070 Santa Monica Boulevard, CA 90038","Tue-Fri 10am-6pm, Sat 11am-5pm", 28 Feb  - 19 Jun 2024  
GAVLAK,Los Angeles,https://www.galleriesnow.net/shows/summer-group-show-2024/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Jose Alvarez (D.O. P.A.),https://www.galleriesnow.net/artist/jose-alvarez-d-o-p-a/,,Spring Group Exhibition 2024,"1700 South Santa Fe Avenue, Suite 440, CA 90021",Thu-Sat 10am-6pm, 20 Mar  - 14 Sep 2024  
Hauser & Wirth Los Angeles,Los Angeles,https://www.galleriesnow.net/shows/jason-rhoades-drive/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Jason Rhoades,https://www.galleriesnow.net/artist/jason-rhoades/,"This February ‘DRIVE’ will open with The Parking Space, featuring a Chevrolet Caprice and Impala, a Ferrari 328 GTS and a Ligier microcar, parked in the gallery alongside a video in which Rhoades fervidly discourses on his concept of the Car Projects. While driving around Los Angeles in 1998, Rhoades explains the relationship of cars to his art (parking is equated with sitting in a sculpture) and to daily practice (driving between the house, the studio and stores is time and space for the mind to race and wander). He expounds on cars as icons of art history (Marcel Duchamp and Francis Picabia speeded modern art forward with their mechanized abstractions), identifiers of class (you are what you drive) and environments of control. The radio is tuned to Power 106 FM and as the world streams by to the propulsive hip-hop beat, the romance of cars seems irresistible.In April, the installation will be reconfigured to accommodate a lounge and become The Pit. An influx of archival materials will be key to unpacking the various episodes of Rhoades’ Car Projects, starting with the Caprice and the 1996 exhibition ‘Traffic.’ Not only did the artist cut a deal with CAPC musée d’art contemporain de Bordeaux, France the organizers of the show, to go in on buying him the car as a transactional work of art, he later leveraged its symbolic value by trading the Caprice for a Ferrari.This summer the exhibition’s focus will swerve onto The Racetrack. A set of half-scale NASCAR-style cars, custom jackets and colorfully painted tire barriers are among what remains of ‘The Snowball.’ Staged in California as a daylong racing event at Willow Springs speedway, ‘The Snowball’ was ultimately destined for the 2000 Venice Biennale and Rhoades’ collaborative work for the Danish Pavilion. In September, The Garage will cover the final stretch of ‘DRIVE’ with a selection of framed works on paper and a major sculptural installation.Throughout the year, the line-up for ‘DRIVE’ will feature a range of public programs. A film series centered on cars and the city of Los Angeles will be curated by film historian and critic Elvis Mitchell. A theatrical staging of the playwright Charles Mee’s ‘Under Construction,’ which was inspired by Rhoades’ art in its collage depiction of America today, will be presented as part of Hauser & Wirth’s Performance Project.Organized as an investigation in real time, ‘DRIVE’ invites people to approach the exhibition like a garage of art and ideas, in which cars are coming and going and tinkering is a productive state of mind. As an artist, Rhoades was keenly attuned to sources of cultural power and weakness. When he put the internal combustion engine on art’s pedestal, was he presciently placing the car where it belongs for a greener tomorrow? The car as a subject in Rhoades’ art continues to drive and trouble the imagination today.",Jason Rhoades. DRIVE,"901 East 3rd Street, CA 90013",Tue-Sun 11am-6pm, 27 Feb 2024 - 14 Jan 2025  
Hauser & Wirth West Hollywood,Los Angeles,https://www.galleriesnow.net/shows/angel-otero-that-first-rain-in-may/,https://www.galleriesnow.net/wp-content/uploads/2023/10/Hauser_Wirth_West_Hollywood.jpg,Angel Otero,https://www.galleriesnow.net/artist/angel-otero/,"Through a labor-intensive process of oil painting on plexiglass, then scraping the applied medium into ‘skins’ which he subsequently collages with wet paint onto canvas, Otero has developed a signature mode of expressive storytelling. The artist’s unique approach allows for an active exchange with the medium, inviting chance and unpredictability into his practice. In surreal and fragmentary scenes, Otero mines his personal history to make sense of the current moment, animating everyday objects and environments that are loosely based on the domestic spaces of his youth.While Otero is best known as a painter, his exhibition at Hauser & Wirth marks the artist’s return to sculpture. Combining ceramics with welded metal, three new sculptural works on view evoke the mutable landscapes of childhood remembered. Their subject matter consists of identifiable objects that undergo transformation and reconstruction, creating uncanny new contexts. Otero’s playful reimagining of these artifacts and their associations is not dissimilar to the ways in which memory becomes distorted over time.",Angel Otero. That First Rain in May,"8980 Santa Monica Boulevard, CA 90069",Tue-Sat 11am-6pm, 29 May  - 25 Aug 2024  
LA Louver,Los Angeles,https://www.galleriesnow.net/shows/rebecca-campbell-young-americans/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Rebecca Campbell,https://www.galleriesnow.net/artist/rebecca-campbell/,"The largest painting in the exhibition, Greenhouse (2023) (96 x 144 inches) offers an introduction to this new body of work. Set within a scene of Campbell’s current home, the artist’s three children are situated throughout the house, experiencing the world from different perspectives. However personal, this is not a world removed from our own; the viewer is painted from the balcony and thus called into subjecthood. Cryptic translations of the surrounding landscape into thickly troweled slabs of abstracted paint signal an irrepressible inner world made visible, engaging viscerally and intellectually with the legacies of expressionism, and feminist critique.Symbolism is deftly wielded by Campbell throughout the exhibition, demonstrated by the two portraits Where Have You Been My Blue-Eyed Son? (2023) and In Utero (2023), which voice the polarities of teenage volatility. One depicts a rain-laden poppy, strong and vibrant despite its delicacy. The other is an archetypal image of a teenager, cross-legged in a Nirvana band tee with a face both hopeful and challenging. Each an image of the beguiling energy and tenuous balance of this vulnerable period of life, Campbell expresses tension and growth through the scale of the central figures in relation to their square frames.Los Angeles parallels teenagerhood throughout the exhibition as a place of precarity, excesses, opportunity, fear, and multiple realities. Depicting a scene outside of the city, Hollywood is a Sign (2023) holds an amalgam of illusions and truths stereotypical of L.A. The cerulean pool – an unnatural feature in the desert – offers a rich metaphor for the beauty, spiritualism, and artificiality echoed throughout the painting. In Between (2024) evokes a similar pull between fantasy and reality as two girls, each clothed in a sumptuous red gown (the artist’s own wedding dress), convey curiosity and anxiety in a secluded world overlooking the distant skyline of downtown Los Angeles.The image of an ecstatic and impasto-ed lemon tree in California Love (2023) is another elucidation of the paradoxical nature of L.A. Surrounded by a garden of other flourishing non-native plants, it is an image from the artist’s backyard from a time during the pandemic when the skies were vibrantly hued by the wildfires in Southern California – a beautiful and aberrant sight. The esoteric figures of Wolf Moon (2024) and Wolf Moon II (2024) present an otherworldly experience of a different kind as cryptograms akin to tarot cards. Emblematic of Campbell’s persistent theoretical inquiry into the perceiver / perceived dynamic, the figures are occluded and protected by veil or shadow.“To watch someone is to hold them apart, to see them is to remember them, a piece of yourself.” The eponymous Young Americans paintings engage with and build upon previous series of portraits that Campbell has created throughout her career. The subject of this collection is her children and their friends, the representatives of our future in closely observed vignettes, navigating adolescence in a world of extraordinary uncertainties. Already changed from the time of these portraits, these young Americans each encapsulate the nostalgia, inspiration, unfolding and anticipation of this body of work. Campbell accomplishes a transcendent task in these paintings, demonstrating not only masterful technical prowess but also the ability to convey universal ideas through individual experience.Rebecca Campbell was born in Salt Lake City, Utah and now lives and works in Los Angeles. L.A. Louver has represented the artist since her graduation with an MFA from the University of California, Los Angeles in 2001, presenting six solo exhibitions and featuring her work in over a dozen group exhibitions. Campbell’s work has been seen at Art Basel Switzerland, Art Basel Miami Beach, ARCO Madrid, and ADAA: The Art Show New York and is represented in both private and public collections across North America and Europe including Brigham Young University, Provo, UT; California State University Long Beach, Long Beach, CA; Jordan Schnitzer Museum of Art, University of Oregon, Eugene, OR; Laguna Art Museum, Laguna Beach, CA; Los Angeles County Museum of Art, Los Angeles, CA; Nora Eccles Museum of Art, Utah State University, Logan, UT; Phoenix Art Museum, Phoenix, AZ; and the Utah Museum of Fine Arts, Salt Lake City, UT. Campbell has combined her studio practice with a rich teaching career at institutions including California State University, Fullerton, and Art Center College of Design, Pasadena, CA. ",Rebecca Campbell: Young Americans,"45 North Venice Boulevard, CA 90291","Tue-Fri 10am-6pm, Sat 10am-2pm", 29 May  - 20 Jul 2024  
LA Louver,Los Angeles,https://www.galleriesnow.net/shows/richard-nonas-3/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,Richard Nonas,"45 North Venice Boulevard, CA 90291","Tue-Fri 10am-6pm, Sat 10am-2pm", 29 May  - 20 Jul 2024  
Lisson Gallery Los Angeles,Los Angeles,https://www.galleriesnow.net/shows/bernard-piffaretti-je-nai-jamais-peint-un-tableau-recent/,https://www.galleriesnow.net/wp-content/uploads/2023/10/Lisson-LA.jpg,Bernard Piffaretti,https://www.galleriesnow.net/artist/bernard-piffaretti/,"In accordance with this process, each canvas is first of all bisected by a single vertical line. The artist then paints a spontaneous composition on one side of that dividing boundary, and then repeats it on the other. The deliberate ensuing ambiguity as to which side was painted first questions notions of originality, the authentic gesture, and completion.Upon entering the gallery, visitors are met with Piffaretti’s abstractions in close dialogue with one another. The artist views his oeuvre as a constantly refined singular work, carefully curating exhibitions to feature compositions from various years, often with a decade or more between them.In this instance, the exhibition is comprised of paintings made over a span of thirty years, and traces back to some of the earliest pieces made using Piffaretti’s signature motif. The oldest work on view, Untitled (1987), was created just one year after the artist began consistently basing his practice around “the central mark”.In addition to the division of his canvases, there are other facets that can also be traced through Piffaretti’s practice. For example, Untitled (1990) features a sequence of crossed red lines forming a lattice structure and Untitled (2008) presents a series of multicolored bulbous shapes, both recurring elements within his larger body of work. These details are present in other paintings such as Untitled (2005) and Untitled (1994) respectively.Piffaretti's commitment to looking back, whether immediately with his mirrored canvases or historically through references, is central to his method. In the same vein, the exhibition’s title, an adoption of a 1969 quote by Man Ray directly translating to “I have never painted a recent painting,” is a nod to Piffaretti’s belief that no work is ever truly new. To him, nothing is without precedent. As well as referencing his own previous pieces, the artist has cited influence from an array of painters, ranging from the likes of Marcel Duchamp and Henri Matisse to Barnett Newman and Andy Warhol. The works resulting from Piffaretti’s “system” act as a physical representation of the artist’s inclination to question the traditions and institution of painting.",Bernard Piffaretti: Je n’ai jamais peint un tableau récent,"1037 N. Sycamore Avenue, CA 90038",Tue-Sat 10am-6pm, 12 Apr  - 8 Jun 2024  
Louis Stern Fine Arts,Los Angeles,https://www.galleriesnow.net/shows/matsumi-kanemitsu-traction-avenue/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Matsumi Kanemitsu,https://www.galleriesnow.net/artist/matsumi-kanemitsu/,"Kanemitsu’s work, particularly in his later years, was fundamentally concerned with the essence of nature. As Jackson Pollock remarked of his friend and fellow Abstract Expressionist: when Kanemitsu was painting, it was as if he was nature itself. Expressing the complex human experience of natural forces in sumi ink, watercolor, and acrylic, these works embody both the splendor and the perils of a sunset in a scorching desert, the churning waves of a Pacific storm, or rivers of rain in a summer deluge. Even as he battled cancer, which would take his life at the age of 69, Kanemitsu embarked on a final series of paintings featuring fields of radiant, scintillating dots. Paired with energetic dashes and waves of molten color, they illuminate the canvas like the prickle of warm sunlight on skin.Born in Utah and raised in Hiroshima, Kanemitsu enlisted in the United States Army in 1941 and had his first exhibition in an army detention camp, where he was held after the bombing of Pearl Harbor. After living in Europe, then in New York, where he studied at the Art Students League and became an active member of New York’s Abstract Expressionist school, Kanemitsu was brought to Los Angeles in 1961 to work at the Tamarind Lithography Workshop. Kanemitsu became a revered art educator in LA, teaching at Chouinard Art Institute and Otis Art Institute over the next several decades.The exhibitions and community gatherings that Kanemitsu staged at 800 Traction Avenue were vital to the flourishing of the Arts District, promoting artistic exchange within the LA arts scene and supporting the work of young local artists, particularly those in the Japanese American community. The fight for recognition of Kanemitsu’s historical importance to the development of the Arts District is ongoing, supported by forthcoming scholarly research and oral history projects.Works by Matsumi Kanemitsu are held in numerous public collections worldwide, including the Art Institute of Chicago; Los Angeles County Museum of Art; Museum of Modern Art, San Francisco; Metropolitan Museum of Art, NY; Museum of Modern Art, NY; Whitney Museum of American Art, NY; National Gallery of Art, Washington, D.C.; and National Museum of Modern Art, Tokyo.Louis Stern Fine Arts is the exclusive representative of the estate of Matsumi Kanemitsu.",Matsumi Kanemitsu: Traction Avenue,"9002 Melrose Avenue, CA 90069","Tue-Fri 10am-6pm, Sat 11am-5pm", 18 May  - 29 Jun 2024  
Luis De Jesus Los Angeles,Los Angeles,https://www.galleriesnow.net/shows/karla-diaz-mujer-valiente-y-los-diablitos-brave-woman-and-the-little-devils/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Karla Diaz,https://www.galleriesnow.net/artist/karla-diaz/,"Karla Diaz is known for her storytelling kaleidoscopic paintings, which she began making to chart memories, dreams, and whims during her recovery from a stroke. Her healing journey has resulted in a prolific series of works that have evolved into a playful yet formidable anthology of Latinx and Mexican-American experiences in Southern California. Diaz's surreal paintings chronicle a collective unconscious of cultural iconography, pop references, current events, and familial dynamics and traditions that shape the worldview of the artist and her communities. In Diaz's latest series, she expands her visual storytelling to encompass music and performance through the Northern Mexican genre of narrative ballads, the corrido.KARLA DIAZ: Mujer Valiente y Los Diablitos (The Brave Woman and The Little Devils) invites you to the artist's fantasy world of her alter ego, Mujer Valiente, the lead singer of the band, Los Diablitos, and their tour through various beloved locations in East LA, from Mariachi Plaza to Whittier Boulevard. The exhibition elaborates on the storytelling of the corrido, where the artist has flipped its traditional tropes to empower women. Historically, corridos have been used as a forum for oral histories and storytelling, facilitating social messages crooned by heroic men, where, in contrast, women are often nonexistent or mentioned in allegories warning against social deviance. Diaz's reinterpretation not only flips the gender roles but also brings new content to a genre that, in its contemporary moment, has had controversy and even legal ramifications for songs promoting illegal activities, narcotics, misogyny, violence against women, and femicide. Her artistic agency is a powerful testament to the strength and resilience of women, inspiring us all to challenge societal norms and reclaim our narratives.Through the lyrics—sung, performed, and vibrantly painted on canvas—we learn the story of the brave woman who does not even fear the devil (“no le teme ni al diablo”), and her determination and resilience in overcoming a broken heart. The storytelling in corridos, like many ballads, is abstracted and blends fact and probability with fiction and drama for effect. Diaz adapts this in full force—painting lyrics saturated in her distinctive palette of rainbow hues, dreamy washes, and colors that conjure the magic of cultural vernacular, from cheerfully painted neighborhood shops to bougainvillea pinks, cactus greens, colorful textiles, and concert costumes. In these works, the artist often assumes fantasy characters, taking up roles of power and positions that have typically been dominated by men, such as a corrido singer, a bullfighter, or a boxer. Amidst the paintings, the exhibition's installation also features a music video and a large painted backdrop that immerses viewers inside her imaginary concert hall.The narratives tell the story of the Latina artist who dreams of being a star and what it would be like to occupy positions of power that women often have little or no access to. Adapting the corrido genre to playfully carry mythical characters and woman-centered novellas of love, abandonment, and heartache with urgent and pressing social themes of protest, immigration, and political unrest. Diaz's works embrace, amplify, and provide an array of emotional releases through humor, earnestness, and nostalgia. Mujer Valiente reconstitutes the corrido as a space for radical discourse. The exhibition and corrido not only tell the story of an individual woman's strength but also celebrate her neighbors and friends who support and cheer for her—essentially, a love song for Diaz's community.Karla Diaz (b. 1976, Los Angeles) lives and works in Los Angeles, she received her MFA from the California Institute of the Arts in 2003 and a BA from California State University Los Angeles in 1999. Diaz is a co-founder, alongside Mario Ybarra Jr., of the collective and community artist space Slanguage in Wilmington, CA. Diaz’s works have been exhibited nationally and internationally at the 18th Street Art Center, Santa Monica, CA; the Hammer Museum, Los Angeles, CA; Los Angeles County Museum of Art, CA; Museum of Contemporary Art, Los Angeles, CA; Museum of Contemporary Art San Diego, LAXART, Hollywood, CA; Pitzer College, Claremont, CA; California State University Los Angeles, CA; San Jose Museum of Art, CA; Institute for Contemporary Art, Boston, MA; Hyde Park Art Center, Chicago, IL; Museum of Contemporary Art Detroit, MI; the Serpentine Gallery, London, U.K.; and Museo Casa de Cervantes, Madrid, Spain. Her work is in the collection of the Los Angeles County Museum of Art, Los Angeles, Museum of Contemporary Art, San Diego, CA, and Inhotim Museum, Brumadinho, Brazil. She has received numerous grants and awards from Art Matters, New York, NY; Tiffany Foundation, New York, NY; City of Los Angeles, CA; Riverside Art Museum, CA; and CalArts, Los Angeles, CA.",Karla Diaz: Mujer Valiente y Los Diablitos (Brave Woman and the Little Devils),"1110 Mateo St, CA 90021",Tue-Sat 10am-6pm, 27 Apr  - 8 Jun 2024  
