galery_name,gallery_link,gallery_imgs
Babst,https://www.galleriesnow.net/gallery/babst-gallery/,[]
Carpenters,https://www.galleriesnow.net/gallery/carpenters-workshop-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Carpenters-Workshop-London-Hunrod-Gold-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/03/Carpenters-Workshop-Gallery-Los-Angeles-Vincenzo-De-Cotiis-5.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Shonibare.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/MONUMENTAL-EXH-SQ-UPDATE-scaled-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/CHARLES_EXHIBITIONSQUARE-scaled-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/240509-LadbrokeHallGarden-0047.jpg""]"
GAVLAK,https://www.galleriesnow.net/gallery/gavlak-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/IMG_1114_web.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/GAVLAK-Palm-Beach-Nir-Hod-1.jpg""]"
Hauser & Wirth Los Angeles,https://www.galleriesnow.net/gallery/hauser-wirth/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Hauser-Wirth-Los-Angeles-Jason-Rhoades-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Hauser-Wirth-Wooster-Street-Roni-Horn-3.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Jennifer-Rochlin-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Eva-Hesse-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Mary-Heilmann-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-18th-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Isa-Genzken-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Harmony-Korine-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Roni-Horn-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Chillida-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Phyllida-Barlow.jpg""]"
Hauser & Wirth West Hollywood,https://www.galleriesnow.net/gallery/hauser-wirth/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Hauser-Wirth-Los-Angeles-Jason-Rhoades-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Hauser-Wirth-Wooster-Street-Roni-Horn-3.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Jennifer-Rochlin-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Eva-Hesse-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Mary-Heilmann-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-18th-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Isa-Genzken-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Harmony-Korine-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Roni-Horn-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Chillida-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Phyllida-Barlow.jpg""]"
LA Louver,https://www.galleriesnow.net/gallery/la-louver/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/RC-GalleriesNow-header.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/RN-GalleriesNow-header.jpg""]"
Lisson Gallery Los Angeles,https://www.galleriesnow.net/gallery/lisson-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Hugh-Hayden.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Opticks_frame.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Lisson-Gallery-27-Bell-St.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Lisson-Gallery-67-Lisson-St.jpg""]"
Louis Stern Fine Arts,https://www.galleriesnow.net/gallery/louis-stern-fine-arts/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Louis-Stern-Matsumi-Kanemitsu-3.jpg""]"
Luis De Jesus Los Angeles,https://www.galleriesnow.net/gallery/luis-de-jesus/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Luis-de-Jesus-Los-Angeles-Karla-Diaz-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Luis-de-Jesus-Los-Angeles-John-Valadez-6.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Melissa_Huddleston_Defeated_Creek_TN_2023_Acrylic_on_paper_60x43.187in_large_Copy.jpg""]"
Marian,https://www.galleriesnow.net/gallery/marian-goodman/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Marian-Goodman-Los-Angeles-Tony-Cragg-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Marian-Goodman-New-York-Giuseppe-Penone-9.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/struth_paris_2024.jpg""]"
Michael Kohn,https://www.galleriesnow.net/gallery/kohn-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Michael-Kohn-Gallery-Siji-Krishnan-1.jpg""]"
Parrasch heijnen,https://www.galleriesnow.net/gallery/parrasch-heijnen-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Dodd-Siebers.jpg""]"
