galery_name,gallery_link,gallery_imgs
Anders Wahlstedt,https://www.galleriesnow.net/gallery/anders-wahlstedt-fine-art/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Larsen.jpg""]"
Berry Campbell Gallery,https://www.galleriesnow.net/gallery/berry-campbell-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Libbie-Mark.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Dehner.jpg""]"
David Richard Gallery,https://www.galleriesnow.net/gallery/david-richard-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/David-Richard-Nathan-Ethier-8.jpg""]"
Gagosian 541 West 24th St,https://www.galleriesnow.net/gallery/gagosian/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Gagosian-Beverly-Hills-Jean-Michel-Basquiat-9.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Hong-Kong-Andy-Warhol-Long-Shadow-8.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Rome-Oscar-Murillo-5.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Le-Bourget-Theaster-Gates-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-976-Madison-Avenue-Anselm-Kiefer-6.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/2024_NY522_CATTE_002.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Gagosian-Neil-Jenney-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/WHITN_2023.0049.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Nan-Goldin.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Alex-Israel.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Giacometti-Nauman-Picasso.jpg""]"
Gagosian West 21st St,https://www.galleriesnow.net/gallery/gagosian/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Gagosian-Beverly-Hills-Jean-Michel-Basquiat-9.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Hong-Kong-Andy-Warhol-Long-Shadow-8.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Rome-Oscar-Murillo-5.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Le-Bourget-Theaster-Gates-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-976-Madison-Avenue-Anselm-Kiefer-6.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/2024_NY522_CATTE_002.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Gagosian-Neil-Jenney-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/WHITN_2023.0049.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Nan-Goldin.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Alex-Israel.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Giacometti-Nauman-Picasso.jpg""]"
Hauser,https://www.galleriesnow.net/gallery/hauser-wirth/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Hauser-Wirth-Los-Angeles-Jason-Rhoades-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Hauser-Wirth-Wooster-Street-Roni-Horn-3.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Jennifer-Rochlin-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Eva-Hesse-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Mary-Heilmann-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-18th-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Isa-Genzken-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Harmony-Korine-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Roni-Horn-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Chillida-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Phyllida-Barlow.jpg""]"
Henoch,https://www.galleriesnow.net/gallery/gallery-henoch/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/JE-434-Beach-Parking-copy.jpg""]"
Jack Shainman Gallery,https://www.galleriesnow.net/gallery/jack-shainman-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Jack-Shainman-diedrick-brackens-1.jpg""]"
Lelong & Co.,https://www.galleriesnow.net/gallery/galerie-lelong/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Galerie-Lelong-Co-New-York-Jaume-Plensa-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/W25579Number402HD.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/GL_Site_BandeauDERNIER.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Vue-datelier-2024.-Photo-Nicolas-Brasseur-1.jpg""]"
Lincoln Glenn,https://www.galleriesnow.net/gallery/lincoln-glenn/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Sherron-Francis-3.jpg""]"
