galery_name,gallery_link,gallery_imgs
Acquavella Galleries,https://www.galleriesnow.net/gallery/acquavella-galleries/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Acquavella-Wayne-Thiebaud-3.jpg""]"
Almine Rech New York,https://www.galleriesnow.net/gallery/almine-rech-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-UES-Women-in-Abstraction-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-Tribeca-Leelee-Kimmel-4.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-Tribeca-Thu-Van-Tran-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/GON0005-GWEN-ONEIL-20024_100463.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/ANA-KARKAR-WHOLE-COOKIE-POSTER.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/HSA0062-HAJIME-SORAYAMA.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/ILO0059-INES-LONGEVIAL-2024.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Ryoji-Ikeda.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Wessellmann.jpg""]"
Anita Shapolsky Gallery,https://www.galleriesnow.net/gallery/anita-shapolsky-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Amaranth-Ehrenhalt_Alouette-3-1954.jpg""]"
Barbara Mathes Gallery,https://www.galleriesnow.net/gallery/barbara-mathes-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Clark-A3501.jpg""]"
Colnaghi New York,https://www.galleriesnow.net/gallery/colnaghi/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/128-lg-crop-horiz-cg-6004-image.jpg""]"
David Nolan Gallery,https://www.galleriesnow.net/gallery/david-nolan-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/David-Nolan-Gallery-Enrico-Baj-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/David-Nolan.jpg""]"
Di Donna,https://www.galleriesnow.net/gallery/di-donna/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Di-Donna-Enchanted-Reverie-Klee-and-Calder-3.jpg""]"
Fleiss,https://www.galleriesnow.net/gallery/fleiss-vallois/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Cottingham-Pano.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Dubuffet-McCollum-pano.jpg""]"
Gagosian 976 Madison Avenue,https://www.galleriesnow.net/gallery/gagosian/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Gagosian-Beverly-Hills-Jean-Michel-Basquiat-9.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Hong-Kong-Andy-Warhol-Long-Shadow-8.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Rome-Oscar-Murillo-5.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Le-Bourget-Theaster-Gates-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-976-Madison-Avenue-Anselm-Kiefer-6.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/2024_NY522_CATTE_002.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Gagosian-Neil-Jenney-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/WHITN_2023.0049.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Nan-Goldin.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Alex-Israel.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Giacometti-Nauman-Picasso.jpg""]"
Gagosian 980 Madison Avenue,https://www.galleriesnow.net/gallery/gagosian/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Gagosian-Beverly-Hills-Jean-Michel-Basquiat-9.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Hong-Kong-Andy-Warhol-Long-Shadow-8.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Rome-Oscar-Murillo-5.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Le-Bourget-Theaster-Gates-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-976-Madison-Avenue-Anselm-Kiefer-6.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/2024_NY522_CATTE_002.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Gagosian-Neil-Jenney-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/WHITN_2023.0049.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Nan-Goldin.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Alex-Israel.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Giacometti-Nauman-Picasso.jpg""]"
Galerie Buchholz,https://www.galleriesnow.net/gallery/galerie-buchholz/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Inv-Tillmans_vorne_Druck_1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Inv_Koether_vorne.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Inv_Stark_vorne.jpg""]"
Galerie gmurzynska,https://www.galleriesnow.net/gallery/galerie-gmurzynska/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/02/gmurzynska-New-York-Anh-Duong-3.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/03/galerie-gmurzynska-Paradeplatz-Attersee-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/03/Attersee.jpg""]"
Goodman Gallery NY,https://www.galleriesnow.net/gallery/goodman-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Goodman-Gallery-London-Atta-Kwami-12.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Zineb-Sedira.jpg""]"
Graham,https://www.galleriesnow.net/gallery/graham-shay-1857/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/NAWA-Forthcoming-Tile.jpg""]"
Hirschl,https://www.galleriesnow.net/gallery/hirschl-adler/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Ligare.jpg""]"
Leila Heller Gallery,https://www.galleriesnow.net/gallery/leila-heller-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/thumbnail_1957-Albers.jpg""]"
Michael Werner,https://www.galleriesnow.net/gallery/michael-werner-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Michael-Werner-New-York-Per-Kirkeby-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Michael-Werner-London-Raphaela-Simon-4.jpg""]"
Nahmad,https://www.galleriesnow.net/gallery/nahmad-contemporary/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Nahmad-Contemporary-Dubuffet-x-Giacometti-3.jpg""]"
Opera,https://www.galleriesnow.net/gallery/opera-gallery/,[]
