galery_name,city_name,exhibition_link,exhibition_image_link,artist_name,artist_link,exhibition_description,exhibition_name,galery_adress,open hours,time_period
"Almine Rech, Tribeca",New York,https://www.galleriesnow.net/shows/leelee-kimmel-the-wilds-and-the-shore/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Leelee Kimmel,https://www.galleriesnow.net/artist/leelee-kimmel/,"Leelee Kimmel continues in the refinement of a certain sort of abstract painting. But that word seems uneasy, correct but subtly off. What sort of refinement is this, or elaboration, or even “study”— the anodyne quality of that word is deliberate. Kimmel is outside of fashion: not so much as a whisper of personal experience or life story, no appeal to identity, that skeleton key to all living myths and histories, omnipresent and deader than the Rev. Casuabon’s hopeless attempt to find the key to all mythology. But keeping within the conspectus of the Victorian novel, nothing is more perversely animated, more plastic with eldritch innovation, than what is dead: Dracula, Frankenstein, and a comically replete world of unquiet spirits. Kimmel would be uninterested in pursuing the Matisse idea of art, that beautiful armchair — but no one shirks Matisse, that’s just wrong and rude. But she doesn’t do that trip. Luxe, calme, et volupté — well Kimmel’s paintings have a luxurious quality, even a voluptuous one; but they’re very seldom calm.Kimmel works within a very well known history of postwar painting: Abstract Expressionism. And yet her paintings don’t look much or anything like those produced by First- and Second-generation Abstract Expressionists, the habitués of the Cedar Tavern, the gristle and sinew of the Tenth Street School. For such a stereotypically “masculine” and “tough guy” stratosphere, a lot of the guys underperform as *real men*. Jackson Pollock: a male hysteric with all manner of expressed of repressed and mockingly, amusingly displayed homoerotic “tendencies”. Franz Kline: adorable but likewise a patent mess. That these paragons of Action Painting and The Triumph of American Painting aren’t regular guys is hardly surprising. They’re self-created edifices of compromised, failed, hopeless masculinity if anything, but how vulgar to talk this way. The guys guys in this orchidaceous-hot realm were the women: Lee Krasner and Joan Mitchell, Elaine de Kooning and Grace Hartigan: they all unsex themselves after the manner of early radical feminist Lady Macbeth. Perhaps it’s fitting that among contemporary painters, certain women are their most vital descendants, keeping the shop of the forties and fifties open today and ever young: Julie Mehretu, Cecily Brown, Jacqueline Humphries, Laura Owens, and Kimmel; resisting the vulgar or maybe just way overdone and shopworn identity ideology of making and being. Unsexed. Not having it. Defiantly pissed off.An intense even overwhelming physicality bursts through many of Kimmel’s paintings. Again, love Matisse we really aren’t worthy—but that luxurious armchair or maybe wing chair overbearing and *powerful* to use that stupid word we admit we love. Waves of color, seismic ruptures, tectonic wrecks, tsunamis of pigment, dusts storms: so much weather and often inclement. But naufrage delivers even better sensation in art than paysage bourgeois and The World of Interiors. The Sublime:Both the Sublime and the Beautiful induce a state of submission that is often combined with the possibility of getting lost. They disorientate and undermine purpose. In one of several erotic sections in the Enquiry Burke describes the experience of looking at a beautiful woman’s body: it is, he writes, like a ‘deceitful maze, through which the unsteady eye glides giddily, without knowing where to fix, or whither it is carried.’— Edmund Burke, A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and BeautifulAnd from the same:""Whatever is fitted in any sort to excite ideas of pain, and danger, that is to say, whatever is in any sort terrible, or is conversant about terrible objects, or operates in a manner analogous to terror, is a source of the sublime; that is, it is productive of the strongest emotion which the mind is capable of feeling....When danger or pain press too nearly, they are incapable of giving any delight, and are simply terrible; but at certain distances, and with certain modifications, they may be, and they are delightful, as we every day experience.""— David Rimanelli, art critic",Leelee Kimmel: The Wilds and the Shore,"361 Broadway, NY 10013",Tue-Sat 10am-6pm, 7 May  - 15 Jun 2024  
"Almine Rech, Tribeca",New York,https://www.galleriesnow.net/shows/thu-van-tran-in-spring-ghosts-return/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Thu-Van Tran,https://www.galleriesnow.net/artist/thu-van-tran/,"Forming the focal point of her exhibition In spring, ghosts return, Thu-Van Tran’s Colors of Grey evokes a world of intense paradox. Vivid hues enact their own negation, their multiplicity eclipsed through their mixing by the emergence of a gray singularity. Differentiation morphs into that which is almost indistinguishable. Begun in 2012 as a poetic reckoning with the so-called Rainbow Herbicides that the United States weaponized against Vietnam during Operation Ranch Hand, the series has taken many forms, from wall-sized frescos to monumental paintings. In her most recent expression, the artist explores expanded vistas on a more intimate scale. These works engage the legacies of Renaissance perspective, 19th- century panoramas, and Christian devotional painting only to subvert them through a meditation on landscape that unfurls across metaphoric and geographical registers.Arranged at the height of windows with a shared horizon line, the paintings in the exhibition offer a 360-degree view onto a compositionally and conceptually complex miasma of colorful abstraction. Their astounding beauty is rooted in horror. Indeed, the gestural washes that veil the canvas belie the steely logic of Tran’s politically encoded color theory. Between 1962 and 1971, the United States sprayed 19 million gallons of chemical weapons onto the jungles of Vietnam. Agent Orange was the most notorious, but Agents White, Blue, Pink, Green, and Purple were also unleashed in an act of chemical warfare that caused decades of ecological and human devastation. Limiting her palette to the colors used to identify these lethal herbicides, Tran paints each color alongside its opposite, gradually producing a shroud of gray pigment that floats above its originally colorful substrate. Her systematic approach results in a painterly negation that poetically figures the trauma of neocolonial occupation. This is a landscape twice abstracted. First, through the familiar gestural marks of nonobjective painting and, second, through the coda waiting to be deciphered in the very colors that Tran initially employs.The resulting panoramic installation that encircles the viewer formally echoes a system of visual representation popularized at the height of colonial expansion. Offering the public an immersive, even cinematic viewing experience, the panorama technique was patented in 1787 to instant acclaim. Visitors flocked to spectacles such as the “panorama du commerce” at the Bourse de Commerce in Paris, where seamlessly fused canvases hung in the round detailed scenes of colonial trade across the French empire. Commissioned to coincide with the Exposition Universelle of 1889, the panorama was a magnum opus of Orientalist painting. Allegories representing each country left no room for doubt as to the hierarchy of civilizations according to the French: Europe was represented as the arts and architecture, while Asia was reduced to elephants and a hookah.Conversely, Tran’s installation works against the panorama’s historical roots in imperialist expansion. Traditional panoramas borrowed a compositional style adopted from military protocols used to survey enemy land. They delivered scenes of heightened realism, typically from a bird’s-eye view. Tran immerses the viewer in a shifting landscape of suggestion and abstraction. Rather than indoctrinating viewers through an illusionistic palimpsest deployed to conceal violent conquest, the artist confronts the perpetual unfolding of imperialist aggression through the enigmatic commingling of color, form, and perception.In In spring, ghosts return, Tran introduces an additional structural element that mitigates the surveilling mode of observation courted in 19th-century panoramas. Interrupting the revolving pan of paintings are two triptychs, whose triple-paneled format borrows from Christian devotional painting. An altar is a threshold to divine mystery. In the Christian tradition, it illustrates the apotheosis toward which all other elements in the church, such as the stations of the cross, narratively progress. Its appearance here is a reminder of forces greater than the visible world and its conquest. This formal intercession in the rhythm of the panorama suggests space for contemplation. The panoramic effect, in turn, exerts reciprocal pressure on the altarpieces, confounding the notion of chronological time fundamental to the Christian worldview. Rather than an explicit narrative mapped onto an advancing timeline, the horizon line that laces across Tran’s panorama suggests a continual cycle akin to the Buddhist belief in reincarnation. In spring, ghosts return reminds us that everything circles back to a point of origin only to begin again.Tran’s incorporation of altars in the form of dual triptychs invites a spiritual dimension into what might otherwise stand as an exercise in history painting. As the exhibition title suggests, there are ghosts in this landscape. Apparitions coalesce and evanesce in the swirling veils of paint, pointing to mourning, mystery, and the possibility of communion. Tran has previously described her preoccupation with “the melancholy of a shifting landscape into which we must project and construct ourselves.” (1) For centuries, Western painting prized various perspectival systems developed in the Renaissance, whose power lay in the promise of projection. These systems relied on the metaphor of the window, placing the viewer in a fixed position relative to the scene before them. A window might provide a view, but Tran’s panorama invites us to choose our own perspective. In this haunted terrain, the act of seeing is also a radical act of reconstruction that forges a future through the vivid condensation of history in the present.— Katherine Rochester, PhD, art historian and curator(1) Hélène Guenin,“Interview: Thu-Van Tran and Hélène Guenin,” in Thu-Van Tran: Nous vivons dans l’éclat, ed. Hélène Guenin (Nice: MAMAC; Paris: Editions Dilecta, 2023),141.","Thu-Van Tran: In spring, ghosts return","361 Broadway, NY 10013",Tue-Sat 10am-6pm, 7 May  - 15 Jun 2024  
Art Projects International,New York,https://www.galleriesnow.net/shows/mari-lee-daily-discovery-of-present-moment/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Mari Lee,https://www.galleriesnow.net/artist/mari-lee/,"As Erik Bakke writes in his essay for the exhibition brochure Mari’s videos “might be 11, 19, 23, or 36 seconds long. They start in the midst of an action and end in the midst of the same action, or at a slightly different phase of that action — rain, or perhaps drops wind-blown from a tree, fall onto a puddle; water flows and ebbs over sand; a sunlit toilet paper roll’s end sheet flutters; a bit of icy slush slides on a shiny hard surface. Some of the videos are less like the others: falling snow and tangles of snow covered trees are filmed from a quickly moving vehicle.Liquid in motion and reflected light are recurrent themes. The action mostly takes place on a small, friendly scale — the changing light on a curtain or the shadow of a hand turning a pair of glasses and creating light play on a wall. Sound appears to be ambient, from the environment of the action. People’s voices and laughter can be heard in the background as the camera remains focused on the reflection of a building on the moving surface of white wine in a glass. But people are not directly filmed, and the closest the viewer gets to seeing characters is a small group of brightly colored tropical fish swimming back and forth in a contained environment–perhaps the denizens of a small aquarium tank.Mari’s title for the series, ‘Daily Discovery of Present Moment,’ suggests a practice and an approach. The videos themselves become less filmic aesthetic representations and more records of the ‘daily discovery’ — of the artist appreciating the changes in the visual manifestation of actions of the incidentally quotidian. The ‘present moment’ reflects a philosophical position that not only puts focus on the present but may only allow for the present. In considering A-theory of time (tensed time allowing for the past, present, and future) and B-theory of time (untensed time which is always described in the present tense), the viewer notes that Mari’s imagery more shows evolving and devolving states than cause and effect. Each video is a glimpse of an eternal present endlessly unfolding.Movement of water and other repetitive action at first lull the viewer, but then the complexity of the action in the videos begins to announce itself. As the viewer slows pace and heightens attention to better comprehend Mari’s documentation, they might be reminded that there are 64 moments in a finger snap. There might be a realization that the vital, vibrating life force of the world seems to be roiling just under the surface of these presentations of light and sound. The viewer may further understand that the reason for not paying attention to the mundane actions of the world is not because they are boring but because they contain too much information for a person to absorb — viewing becomes overwhelming, anxiety creeps in. But maybe, then, the function of these videos is not to slow time or lead the viewer either towards or away from existential despair, but for the viewer to take these briefly documented actions proposed by Mari as short rituals that allow for communication with deeper, unseen, uncomprehended forces. Present-1 shows, only through documentation of cast shadows, a hand agitating the surface of some water — the agitation becomes more pronounced as the video progresses. Here Mari explicates a deeper intention and reveals through allegory the rare ritual of the body reaching through the membrane of the real to negotiate with the spirits that invisibly surround us and control our world from just out of sight.”Mari Lee (b. Seoul, Korea) grew up in South Korea, Hong Kong, and England, and currently lives and works in New York. She graduated from Ewha Womans University in Seoul and received her MA from New York University in studio art (photography). After working as a photo-assistant to photographer Mary Ellen Mark, she worked as a photojournalist in Seoul and New York.Most recently, she has focused on creating time-based media works. Recent exhibitions include: 30 Years: Art Projects International (group exhibition), Art Projects International, New York, 2023; Unlearning, Transforming (solo exhibition), New York University Photo Hall Gallery, New York, 2019; Infinite Perspectives (3-person show), Artbit Gallery, Seoul, Korea, 2017; and Unlearning (solo exhibition), Is Gallery, Seoul, Korea, 2016. Selected collections include the Francis Greenburger Collection, New York.The exhibition is accompanied by a fully-illustrated brochure with an essay by Erik Bakke.",Mari Lee: Daily Discovery of Present Moment,"434 Greenwich Street, Ground Floor, NY 10013",Tue-Fri 11am-6pm, 7 May  - 21 Jun 2024  
Bortolami,New York,https://www.galleriesnow.net/shows/lesley-vance-3/,https://www.galleriesnow.net/wp-content/uploads/2023/04/Bortolami.jpg,,,,Lesley Vance,"39 Walker Street, NY 10013",Tue-Sat 10am-6pm, 3 May  - 8 Jun 2024  
Bortolami,New York,https://www.galleriesnow.net/shows/christine-safa-these-are-the-days-i-have-loved/,,Christine Safa,https://www.galleriesnow.net/artist/christine-safa/,,Christine Safa: These are the days I (have) love(d),"39 Walker Street, 2nd Floor, NY 10013",Tue-Sat 10am-6pm, 3 May  - 8 Jun 2024  
David Lewis,New York,https://www.galleriesnow.net/shows/everyone-loves-picabia/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Francis Picabia,https://www.galleriesnow.net/artist/francis-picabia/,"The Ph.D. (Francis Picabia and the Problem with Nihilism) sought to answer the question “why?” — why was Picabia, among all the artists of the historical avant-garde, so stylistically varied and endlessly adaptable to modes and methods of artmaking, however diverse, contradictory? (Just what is it that makes this avant-gardist so different, so appealing?) This anniversary exhibition extends the inquiry by presenting 5 works by Francis Picabia, alongside 24 contemporary artists, each of whom have been inspired by Picabia in a variety of ways: As an almost limitless repertoire of formal and conceptual techniques; a satirist, parodist and avatar of play; a protean but self-deprecating spirit of myriad possibilities and potentials. If critics still often struggle to make sense of Picabia’s achievement, and only intermittently embrace its profuse permissive gifts, artists, on the other hand, have definitely always gotten the message, celebrated it, and enthusiastically extended it. This exhibition gives voice to their energies and insights.Trey Abdella, Rita Ackermann, Barbara Bloom, John Cage, John Currin Nancy Dwyer, Louis Eisner, Tomás Esson, Ravi Jackson, Lisa Jo, Martin Kippenberger, Colette Lumiere, Claire Lehmann, Mathieu Malouf, Charles Mayton, Jeanette Mundt, Francis Picabia, Philip Pearlstein, Jason Rhoades, Anita Steckel, Marika Thunder, Kyle Thurman, Christopher Williams, Lisa Yuskavage, Leah Ke Yi Zheng.",Everyone Loves Picabia,"57 Walker Street, NY 10013",Tue-Sat 10am-6pm, 3 May  - 19 Jul 2024  
D’Lan Contemporary,New York,https://www.galleriesnow.net/shows/daniel-walbidi-yurlupirti-forever-without-end/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Daniel Walbidi,https://www.galleriesnow.net/artist/daniel-walbidi/,"Yurlupirti - Forever Without End (eternal) presents 10 new paintings by ​the artist that reveal a transition in his practice and delve deeper into his personal beliefs and cultural perspectives, which are invariably grounded in the land.Yulparitja / Mangala artist Daniel Walbidi was born in 1983 in a small coastal community called Bidyadanga, 250km south of Broome, Western Australia. Formerly La Grange Mission, its people were brought to the region from the desert to assist in the building of cattle stations. Bidyadanga has five tribes living within the community and Daniel has said, ""We all speak and understand each other's languages and live together as one big family.""Taking colors from nature—both from the desert and the ocean—Walbidi’s artistic practice is deeply rooted in Australian First Nations perceptions of reality and the importance of land acknowledgement, as well as his people's traditional teachings and experiences.Walbidi was named one of Australia's Top 50 Most Collectable Artists by Australian Art Collector in 2011 and won the painting prize at the National Indigenous Art Awards at the Museum and Art Gallery of Northern Territory in 2014. His work has been exhibited and is held in Australian and international institutions including the Metropolitan Museum of Art, New York.",Daniel Walbidi | Yurlupirti - Forever Without End (eternal),"25 East 73rd Street, NY 10021",Tue-Sat 11am-6pm, 26 Apr  - 31 May 2024  
Findlay Galleries,New York,https://www.galleriesnow.net/shows/activating-additions-an-exhibition-of-collage/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,"Originating in the early 20th-century modernist movement with leading practitioners such as Picasso and Braque, Collage is a dynamic medium that introduces everyday life into artwork in the form of fragments of imagery, newsprint, photographs, and other materials. Transcending traditional boundaries of any single medium, the combination of disparate elements can disrupt the viewer’s expectation, or it can reinforce the artwork’s narrative in unexcepted and surprising ways. Our Collage Exhibition includes artists such as Byron Browne, Frank Lobdell, Gilles Gorriti, and Chuang Che and draws from diverse movements, including the Bay Area Figurative Movement, the School of Paris, and Taiwan’s Fifth Moon Group.",Activating Additions: An Exhibition of Collage,"32 East 57th, 2nd Floor, NY 10022",Mon-Fri 10am-6pm, 8 May  - 4 Jun 2024  
Halsey McKay Gallery,New York,https://www.galleriesnow.net/shows/miranda-fengyuan-zhang/,https://www.galleriesnow.net/wp-content/uploads/2018/07/Halsey-McKay.jpeg,Miranda Fengyuan Zhang,https://www.galleriesnow.net/artist/miranda-fengyuan-zhang/,"Not only may one imagine that what is higher derives always and only from what is lower; one may imagine that – given the polarity and, more important, the ludicrousness of the world – everything derives from its opposite: day from night, frailty from strength, deformity from beauty, fortune from misfortune. – Ladislav KlimaMiranda Fengyuan Zhang’s latest series of paintings draws direct inspiration from classical music composition, exploring the interplay between form and chance, order and chaos. She embodies these dualities through a calculated foundational pattern – the strips, along with a much looser, almost freehand-woven image on its upper layer. The foundational layer serves as the bedrock, acting as a steadfast framework. The upper layer bursts forth with variation and negotiation, resulting in a mesmerizing, orderly, yet wildly free contrast. This construct carries myriad cultural and social weights, both ancient and contemporary. Whether it’s a set of landscapes, motifs, or an assemblage of color fields interrogating the stripes, the audience is invited to witness the dynamic dialogue in a realm of constant polarity and harmony.The title of the show, “Variation on a Theme of Blue and Gray,” directly references an ancient music form dating back to the thirteenth century. Composers like Bach, Beethoven, and Schubert used this specific music form to expand various ideas from a single motif. Through Zhang’s early education in classical piano, she views the weaving machine as an instrument itself. This inquiry explores the indeterminacy of weaving as a physical experience, juxtaposed with the regularity of machines. The weaving technique involves the coexistence of incompatible conceptual systems—domestic construction, celebrity culture, visual conspicuousness, or institutional critique—all of which are equally valid. The constraints and limits of weaving reflect this phenomenon within the picture plane, highlighting the sensual pleasure of polychromatic banded materials. The stripes draw attention through their prominence in our visual field and entertain the eye with their shifting patterns, combinations of color, and ocular effects.Through ongoing exploration, rehearsal, and performance of weaving, using notations and instructions of warp and weft, Zhang formalizes the distinction between personal intention and formalist theory in her artistic expression. The instrumental indeterminacy of the weaving machine is used to perform in situations where the boundaries of the machinery process are experienced as ambiguous, fluid, reconfigurable, or undefinable by the artist. Her new series of paintings translates such situations into tangible forms, demonstrating how shimmer, colors, textures, and patterns of the material are integral to creating subjectivity. If the motif of stripes is about turning the personal into possession, Zhang’s work paradoxically suggests transforming the material into the personal through the conduit of meaning as use, allowing us to abandon control in the process.– Yuan FucaMiranda Fengyuan Zhang has had solo shows at Capsule Shanghai, Shanghai; Mendes Wood DM, São Paulo/Brussels; Halsey McKay Gallery East Hampton; and Candice Madey Gallery, New York. Other exhibitions include Sea View, Los Angels; Galerie Marguoa, Paris; Massimo de Carlo, London; Clearing, New York/Los Angeles, and Chambers Fine Art Gallery. New York. She has been the recipient of the La Maison de l’Art Contemporain residency in Asilah, Morocco and the Arquetopia Foundation in Oaxaca, Mexico. She is represented by Halsey McKay Gallery.",Miranda Fengyuan Zhang: Variation on a Theme of Blue and Gray,"79 Newtown Lane, East Hampton, NY 11937",Thur-Mon 11am-6pm, 25 May  - 23 Jun 2024  
Halsey McKay Gallery,New York,https://www.galleriesnow.net/shows/shaun-odell/,https://www.galleriesnow.net/wp-content/uploads/2018/07/Halsey-McKay.jpeg,Shaun O’Dell,https://www.galleriesnow.net/artist/shaun-odell/,"During a Pleiades meteor shower in Northern California I saw a meteorite flying 300 feet in the air trailing flames like a slow crashing sopwith camel about to plummet into a meadow. In a flash it went out and fell to earth leaving a trail of gray smoke in the black freezing air. The shape of the meteorite's extinguished smoke trail is fixed in my mind. We couldn’t find the rock the next day but I assume it was composed of a good amount of iron.Iron is one of the elements undoubtedly known to the ancient world. It comes from supernovae, the earth’s core and crust and meteorites. While iron is the most abundant element on Earth, most of this iron is concentrated in the inner and outer cores. Before people mined iron ore from the ground all the raw iron used for smelting it into a molten malleable medium for making objects came from outer space as meteorites. Most of the meteorites that fall to earth are composed of iron. Beads from 3500 BC found in Gerzeh, Egypt and a dagger found in Tutankhamun’s tomb are both made of meteoric iron.In mythology the Macranthrope, an allegorical depiction of the universe as a giant anthropomorphic body, issues metals from its flesh and blood. Iron embryos rebirth the metals on earth and are forged by humans into objects of use. These objects carry within them the transformative power of their origin in the macranthropic cosmos. For a good part of the Iron Age iron was mainly used for weapons and the tools used to make those weapons but by the early 17th century in Europe and America wrought iron made up nearly every kind of agricultural, industrial, architectural, domestic and decorative human made object.In his early 19th century Newport, Kentucky mercantile my ancestor Henry Behrman was surrounded by the wrought iron objects of early America -  kettles, flat irons, pots, kitchen utensils, trammels, broilers, cranes, shovels, toasters, waffle-irons, trivets, bells, hooks, lamps, lanterns, candle and rushlight holders, chandeliers, latches, hinges, locks, bolts, chains, knockers, handles, hasps, balconies, braces, foot scrapers, andirons, fireplace accessories, weather-vanes, shutter-fasteners, scissors, irons, plough plates, wagon and coach wheels, axe-bars, round and square bars of all sizes, stoves, stove backs, mill gudgeons, nails, iron gates and fences, ornamental porch and balcony railings, mantels, attic window grilles, handrails and building hardware.In my work I am drawn to locating moments in history - my own, American, the west and human - when markable shifts from the mythos to the logos, the miraculous to the end of enchantment, the infinite to the reductionism of the quantifiable can be unfixed and made permeable.  Something like a picture - both on the wall and in my mind - that I can step into and out of.  In the painting, ((((Ore Macranthropic Echo)))) I wanted to see the origin of the smoking iron-laden meteorite I saw fall from the Pleiades emerge from the macranthrope in the Kentucky woods of Henry Behrman’s mercantile. Depicting and superimposing the moment I saw the macranthrope’s offering in 2009 California onto Henry’s colonial era Kentucky establishes a nexus point for my invented, ancestral, human, material and mythological memory. A site to contemplate the ways in which not seeing and disconnection from the miraculous have produced a dissociation from our relationship with the natural world and its undeniable presence.Reconstructing a mythological framework as a tool to confront both the dissociative and miraculous qualities of being eventually creates a sound in my paintings. This is how I understand they are activated and transmitting. Before I can hear the painting, the works individually and as a collective expand and contract formally. This process becomes one of disassembly and inversion. Some works maintain a consistent size and remain contained on one piece of paper during their creation. Other works are constructed using multiple panels of paper that are eventually unified by their mount on canvas, but through their making leave artifacts within other works. As paper is cut, redrawn, reordered, rotated, and reassembled events occur between paintings that direct their evolution and whether they appear as anomalies in single instances or as a visual language speaking through reoccurrences in multiple events. How to make a taxonomy of something as it occurs, but happened in the past and evolves to the future? Perspectival shifts through multiple picture planes enfold history into formality, representation into abstraction, fluid occurrences into fixed images. – Shaun O’DellShaun O’Dell (b. 1968, Beeville, TX) received a BA from the New College of California, San Francisco, in 2002 and an MFA from Stanford University in 2004. His work has been exhibited widely in the US and internationally. He has won numerous awards and honors including the Tournesol Award (2009, Headlands Center for the Arts), Diebenkorn Teaching Fellowship (2006, SF Art Institute), Artadia Award (2005, San Francisco) and The Fleishhacker Foundation Award in 2002  His work is included in a number of permanent collections, including the Museum of Modern Art (New York, NY), the Whitney Museum of American Art (New York, NY), the San Francisco Museum of Modern Art (San Francisco, CA), the Museum of Fine Arts, Houston (Houston, TX), the Bronx Museum of Arts (Bronx, NY), the de Young Museum (San Francisco, CA), Berkeley Art Museum (Berkley, CA), and the DESTE Foundation of Contemporary Art (Athens, Greece). O’Dell lives and works in San Francisco, CA.",Shaun O’Dell: An Object Coming From Elsewhere,"79 Newtown Lane, East Hampton, NY 11937",Thur-Mon 11am-6pm, 25 May  - 23 Jun 2024  
