galery_name,gallery_link,gallery_imgs
"Almine Rech, Tribeca",https://www.galleriesnow.net/gallery/almine-rech-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-UES-Women-in-Abstraction-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-Tribeca-Leelee-Kimmel-4.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-Tribeca-Thu-Van-Tran-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/GON0005-GWEN-ONEIL-20024_100463.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/ANA-KARKAR-WHOLE-COOKIE-POSTER.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/HSA0062-HAJIME-SORAYAMA.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/ILO0059-INES-LONGEVIAL-2024.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Ryoji-Ikeda.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Wessellmann.jpg""]"
Art Projects International,https://www.galleriesnow.net/gallery/art-projects-international/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/2024MariLee.jpg""]"
Bortolami,https://www.galleriesnow.net/gallery/bortolami/,[]
David Lewis,https://www.galleriesnow.net/gallery/david-lewis-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/David-Lewis-Everyone-Loves-Picabia-5.jpg""]"
D’Lan Contemporary,https://www.galleriesnow.net/gallery/dlan-contemporary/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Daniel-Walbidi.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Significant.jpg""]"
Findlay Galleries,https://www.galleriesnow.net/gallery/findlay-galleries/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/133164-Ribas-LR-UF.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/206714-Edmondson-.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Untitled-III-L.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/136442-Sipp-Green-LR-UF.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/140939-Picasso-LR-F.jpg""]"
Halsey McKay Gallery,https://www.galleriesnow.net/gallery/halsey-mckay-gallery/,[]
Hauser & Wirth Wooster Street,https://www.galleriesnow.net/gallery/hauser-wirth/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Hauser-Wirth-Los-Angeles-Jason-Rhoades-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Hauser-Wirth-Wooster-Street-Roni-Horn-3.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Jennifer-Rochlin-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Eva-Hesse-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Mary-Heilmann-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-18th-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Isa-Genzken-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Harmony-Korine-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Roni-Horn-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Chillida-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Phyllida-Barlow.jpg""]"
HB381,https://www.galleriesnow.net/gallery/hostler-burrows/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/HB381-Marianne-Nielsen-1.jpg""]"
Hutchinson Modern,https://www.galleriesnow.net/gallery/hutchinson-modern/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Avatar1-copy.jpg""]"
"James Cohan, 48 Walker St",https://www.galleriesnow.net/gallery/james-cohan-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gibbs.jpg""]"
"James Cohan, 52 Walker St",https://www.galleriesnow.net/gallery/james-cohan-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gibbs.jpg""]"
Leon Tovar Gallery,https://www.galleriesnow.net/gallery/leon-tovar-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/leontovargallery-c-sar-paternosto-magenta-olive-and-blue-1966.jpg""]"
Lévy,https://www.galleriesnow.net/gallery/levy-gorvy-dayan/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Pierre-Soulages.webp"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Levy-Gorvy-Dayan-London-N-Dash-3.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Alison-Watt.jpg""]"
Lincoln,https://www.galleriesnow.net/gallery/public-art-fund/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/02/Abney-3364.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/01/Fred-Eversley-feature.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Public-Art-Fund-Huma-Bhabha-1.jpg""]"
Luhring Augustine Tribeca,https://www.galleriesnow.net/gallery/luhring-augustine-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Luhring-Augustine-Chelsea-Tiptoeing-Through-the-Kitchen-3.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Luhring-Augustine-Tribeca-Tomm-El-Saieh-and-Diego-Singh-2.jpg""]"
Marian Goodman Gallery,https://www.galleriesnow.net/gallery/marian-goodman/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Marian-Goodman-Los-Angeles-Tony-Cragg-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Marian-Goodman-New-York-Giuseppe-Penone-9.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/struth_paris_2024.jpg""]"
Perrotin,https://www.galleriesnow.net/gallery/galerie-perrotin/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Perrotin-Los-Angeles-MSCHF-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Perrotin-Marais-Hernan-Bas-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Perrotin-Marais-Klara-Kristalova-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Perrotin-Marais-Julian-Charriere-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/A01-\ud06c\uac8c.jpeg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Perrotin-Matignon-Kelly-Beeman-1.jpg""]"
Pontone,https://www.galleriesnow.net/gallery/friedrichs-pontone/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Friedrichs-Pontone-Actions-and-Perceptions-3.jpg""]"
Public,https://www.galleriesnow.net/gallery/public-art-fund/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/02/Abney-3364.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/01/Fred-Eversley-feature.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Public-Art-Fund-Huma-Bhabha-1.jpg""]"
Schoelkopf,https://www.galleriesnow.net/gallery/schoelkopf/,[]
Susan Sheehan Gallery,https://www.galleriesnow.net/gallery/susan-sheehan-gallery/,[]
"Timothy Taylor, New York",https://www.galleriesnow.net/gallery/timothy-taylor-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Timothy-Taylor-London-Hayal-Pozanti-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Timothy-Taylor-New-York-Sahara-Longe-1.jpg""]"
