galery_name,city_name,exhibition_link,exhibition_image_link,artist_name,artist_link,exhibition_description,exhibition_name,galery_adress,open hours,time_period
Almine Rech,Paris,https://www.galleriesnow.net/shows/gwen-oneil-over-the-ridges-and-through-the-passes/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Gwen O’Neil,https://www.galleriesnow.net/artist/gwen-oneil/,"“Over the ridges and through the passes,” Gwen O’Neil’s first exhibition with Almine Rech presents a series of new paintings inspired by unique weather and light conditions endemic to southern California. Like many West Coast-based artists—notably those associated with the Light and Space movement such as Larry Bell, Mary Corse, and Dewain Valentine—O’Neil seeks to capture the combination of natural and artificial factors responsible for southern California’s dramatic environment. Acknowledging that the fiery sunsets and hazy glow associated with Los Angeles are largely the result of air pollution, O’Neil’s paintings are as foreboding as they are dazzling.Channeling painters like Georges Seurat and Paul Signac, O’Neil composes her compositions—typically swirls, curls and waves of intense and varied colors—out of individual daubs of paint. Placing different colors next to each other on the canvas (rather than mixing them on a palette), O’Neil creates hazy volumes that seem to pulsate as we fix on them. Up close, these abstractions, which she bases on natural forms ranging from the tiny spirals inside seashells to massive murmurations of birds, break down into individual marks, like a digital photograph disintegrating into pixels. A constant push and pull between micro and macro perspectives in O’Neil’s work keeps the viewer’s eye coming back to the surfaces of her canvas—as do seemingly errant touches of color that “pop,” instead of blending with the surrounding hues. Unexpected dashes of hot pink or chartreuse, for example, disrupt the illusion of distance or volume. The effect recalls similarly surprising painterly flourishes found in landscapes by Claude Monet, Vincent van Gogh or even Joan Mitchell. Similar to the blazing, almost neon orange sun in Monet’s famous Impression Sunrise, 1872, certain aspects of O’Neil’s compositions seem intended to emphasize the materiality of paint itself.In addition to light effects, O’Neil has found inspiration in natural phenomena like starling murmurations and, most recently, the Santa Ana winds. Her paintings translate the dizzying patterns created by thousands of birds flying and swooping into colorful swirling compositions that communicate a sense of awe, but also danger. Stunning though they are, starlings are an invasive species. With this in mind, O’Neil’s paintings can be understood not only as appreciations of the birds’ incredible synchronized configurations, but also as a kind of alarm bell signaling a potential threat to the ecosystem.The works on view in Paris continue O’Neil’s exploration of California’s infamous Santa Ana winds, a likewise duplicitous marvel she has been painting since 2023. These strong winds are the bearer of beautiful clear skies and dry weather, but also have the potential to cause massive destruction. Warm, dry air creates prime conditions for forest fires, which is why Native American tribes have referred to these intense storms as “devil winds.” In addition wreaking havoc on the natural landscape, the Santa Anas are associated with all kinds of strange reactions in humans ranging from physical ailments, like headaches, to psychological ones, like depression and anxiety. In paintings like Canyon Vibrations and Mountain Pass (all works 2024), O’Neil captures both tangible and eerie effects of this force of nature.As an East Coast native who grew up between New York City and East Hampton, O’Neil initially worried she might find California’s lack of seasons perturbing. Indeed, fall foliage, winter snow, spring blooms and summer heatwaves, have been replaced with wildfires, flooding, and sea-level rise. With an acute awareness of her immediate surroundings, O’Neil has developed an artistic practice that documents and raises questions about the effects of human caused climate change on her own backyard. Resonating well beyond, her paintings are deceptively beautiful warnings about the precarity of our planet.— Mara Hoberman, art critic",Gwen O'Neil: Over the Ridges and through the Passes,"64 rue de Turenne, 75003",Tue-Sat 11am-7pm, 11 May  - 14 Jun 2024  
"Almine Rech, Matignon",Paris,https://www.galleriesnow.net/shows/tom-wesselmann-monica-with-wesselmann/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tom Wesselmann,https://www.galleriesnow.net/artist/tom-wesselmann/,"""At first, I thought of modeling for Tom as just a job. A starving artist, so to speak, coming to NYC needs some work to support her art, and I was lucky enough to land a job working as Tom Wesselmann’s model. That was the starting point, and it was amazing in itself. Later, I would become an assistant, mixing his paint, keeping his records, helping him manage his clients and his sales, singing his country songs, and being his friend. At first, it was not a steady job, being just the model, but later by adding in studio work, it became my permanent gig. And little did I know I was entering history.I am both a painter and a songwriter so when I started modelling for Tom I was used to having eyes on me, as a front singer in a rock band and modelling for art classes for my fellow artists. There is a kind of synergy that takes place in those situations. You are no longer just you. You are part of a whole experience. The ego subsides, presence appears, and transformation occurs. The other band members plus the audience become part of the whole process; the artist and model become collaborators. You enter into an honest dynamic that is bigger than you.When I met Tom Wesselmann, through my new friend and neighbor Candy Spilner, who was already working for Tom as his solo assistant, I knew that he was famous. But I was also in the limelight, albeit on a much smaller scale, playing shows at CBGB, Peppermint Lounge, Danceteria and all those cool NYC venues. I thought I had made it somehow. That is the innocence or maybe arrogance of youth.Because of the work I was doing, and my naïveté, I took to Tom as a fellow artist. And he let me in as though we were equals. I believe it was this casualness and his humility that made us comfortable together. I didn’t know enough to be intimidated, and he found no need to intimidate me. Looking back, I think he was even intrigued by this very nonchalance on my part. Looking back, I am embarrassed at my boldness.In the 80s Tom was having a renaissance along with a world that was changing. There was something in the air. We all knew it, but when you’re in it, it’s hard to see. NYC was reinventing itself and so was Tom.Tom was very clever as well as creative. He was excited and itching to incorporate his new idea – the development of the laser cut metal pieces. Something about me matched the process. He was already testing this new medium when I arrived on the scene. His wife and favorite model, Claire, was busy raising their children, so Tom was using various other models after her. But he was looking for someone longer lasting. Someone who would represent this new stage of his artistic vision. I became that person.Once, Tom told me that he would’ve met me whether Candy had introduced us or not. In his mind, it was fate.I would arrive at Tom’s studio, and he would hand down the key to me on a fishing pole through his window, knee bent, foot against the window casing, dressed in his khaki corduroys and blue work shirt, his consistent studio work clothes.I will never forget that place, 231 Bowery 2nd floor. It was recently demolished, and now it is only a memory. On the ground floor was Daroma, an Israeli company that sold restaurant equipment. But the building housed other artists, and Tom was on the second floor. After going through the outside industrial door, I would take a walk through the dark, dank, dusty hallway, walk up the steps and enter into the bright lights of a very busy artist’s loft. It was a dream to me, with the smell of oil paint, images everywhere, and an excited stillness. Tom’s everyday worktable that he would use for preparatory work was now set up as a model stand to the right next to the wall. When I first met Tom, I was only posing for portraits. He would ask me to move my mouth this way and that, tilt my head or smile, and he would draw and sometimes photograph my face. There were only a few drawings that came out of these.My real work came when he later asked me to model nude. I was reluctant at first, since we had become friends, so that seemed tricky, but I decided it might be a good job, one that I already knew how to do, and it could fuel my own creativity.So, I said yes, and we committed to our work as artist and model. It would last on and off for many years to come, pretty much until the end of his life.Tom had a Chinese robe for me to wear as I was preparing to model, one that he often used in his work. I never got over feeling nervous when I first took off this robe. There was a choice, either to become naked or to become sacred. I chose sacred, and Tom went along.This space that we entered is very hard to describe. It was charged with a kind of intense yet safe force, and we both sat in that field of intensity and worked. The constant was the flow of country music wafting in the background. The sessions were long, lasting his full workday, and they were tough for the model. There was hard work going on.Sometimes Tom would ask me what I was working on and we would start to talk about art or music. He always wanted to know where we were playing, what I was writing about, what I was painting, what I was doing, although he never came to the gigs. He never went anywhere. He worked and went home. Still, it seemed natural (in hindsight, amazing) that he was genuinely interested in my work. He honestly treated me as a fellow artist as I sat there with him, alone and vulnerable.Although these sessions started out animated, they became quite quiet by the end. And no matter what, I was aiming at making him succeed in his drawing. I was concentrating on that energy between us, trying to keep him interested in his work, drawing a body as though it were supernatural, something meaningful, worthwhile, more than it was. Something that would matter. We were both after something more than a nude woman as seen by a man. It was unspoken, but we both knew. This wasn’t going to be carnal; this would be magical. This would be art, and it would be something new and made in metal. All of this was exciting for him. And it was my job to keep it that way.A whole bunch of drawings would come out in one session. He would churn out maybe 15 drawings each time. I would have to invent four or more new poses for each sitting. And while I would be getting into place he would have a vague idea, recline, sit, or wear this necklace, or just move my arm up or down, head this way or that. I never brought a prop. If there were any other features, a hat or beads, they came from him. Tom was always kind and gentle to me during these sessions. He mostly would exclaim that he couldn’t capture the beauty. Although that was nice to hear, I wanted him to say, “Got it!” So, we kept working. He never said those words, but later on many of these drawings became major works.My time with Tom goes deeper than our work as artist and model. We laughed and painted and visited and sang songs. He was my boss and followed the boundaries, but I knew that he loved me. And I loved him as well. As an assistant he treated me as such, but as a person he thought of me as more than that. It was unspoken but felt.One thing is for sure. He loved that I was a singer. He loved that I wrote songs. That was where I was different, where I became an angel to him. I could sing.""— Monica Serra",Tom Wesselmann: Monica with Wesselmann,"18 avenue Matignon, 75008",Tue-Sat 11am-7pm, 7 Jun  - 20 Jul 2024  
Art: Concept,Paris,https://www.galleriesnow.net/shows/caroline-achaintre-the-seeker/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Caroline Achaintre,https://www.galleriesnow.net/artist/caroline-achaintre/,,Caroline Achaintre: The Seeker,"4, passage Sainte-Avoye, 75003","Tue-Fri 10am-6pm, Sat 11am-7pm", 23 May  - 20 Jul 2024  
Bigaignon,Paris,https://www.galleriesnow.net/shows/chris-mccaw-marking-time/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Chris McCaw,https://www.galleriesnow.net/artist/chris-mccaw/,"Using the most basic elements of photography, light and time, to create his unique photographs of landscapes and seascapes, and navigating between literalism and abstraction, McCaw’s artistic practice is firmly rooted in the history of photography while simultaneously pushing the medium in new directions.Sometimes recalling the slash and burn paintings of Lucio Fontana, the historic references to the work of photography pioneers are also apparent, from Eadweard Muybridge’s capture of movement, to Talbot’s use of paper negatives, as well as the earliest attempts by Nicéphore Nièpce with several hour-long exposures, describing the movement of the sun, showing morning and afternoon light in the same image. While inspired by these historic references, McCaw confronts the question of what a photograph is and what its elements – time, light, lenses, photo-sensitive paper – can be.Experimenting with large-format cameras and with various printing processes, Chris McCaw began building his own cameras in 1995. The artist equips his large-format cameras with powerful lenses typically used for military surveillance. Instead of film, McCaw inserts expired fiber-based gelatin silver photo paper directly into the camera. Pointing the lens at the sun, McCaw makes recordings ranging from thirty seconds to as long as 84 hours. The sun, intensified by the lens, scorches its path across the paper while creating a solarized image of the landscape or seascape below – a “direct positive” image made in-camera, without an intervening negative. Seeking to extend the duration of his photographs, McCaw has made four trips to the Arctic Circle in summer when the sun never sets to document the “midnight sun.” Throughout his work, these burned lines and holes are tangible traces of the act of making each photograph: marking time, recording location, mapping weather conditions and channeling light. The minimalist skylines or horizons, where visible, evoke for their part the transitory nature of the elements in the locales where McCaw chooses to photograph: the desert, the sea, or the mountains.Describing his work as being more of a collaboration between artist and subject, McCaw explains, ""… not only is the resulting image a representation of the subject photographed, but the subject, the sun, is an active participant in the printmaking… both creating and destroying the resulting photograph.""Born in 1971, McCaw’s work has been exhibited at institutions including the National Gallery of Art (Washington D.C.), the Los Angeles County Museum of Art, the Art Institute of Chicago, the Museum of Fine Arts of Boston and the Rijksmuseum (Amsterdam, The Netherlands). His work is in the collections of the Metropolitan Museum of Art (New York), the J. Paul Getty Museum (Los Angeles), the San Francisco Museum of Modern Art, the Whitney Museum of American Art (New York), the Chrysler Art Museum, (Norfolk), the Philadelphia Museum of Art, the National Gallery of Art (Washington D.C), the Smithsonian American Art Museum (Washington D.C), the Victoria & Albert Museum (London, UK), among many others. McCaw is the recipient of numerous awards, including the Andy Warhol Foundation's New Works Grant and Alternative Exposure Grant, as well as the Emerging Icon in Photography award from the George Eastman House. The artist lives and works in Pacifica, California.The exhibition is complemented by a book entitled ""Marking Time"", published by Datz Press. The artist will be present at the gallery to sign his book at the exhibition opening on Tuesday April 23, 2024, from 6 pm.",Chris McCaw: Marking Time,"18, rue du Bourg-Tibourg, 75004",Tue-Sat 11am-7pm, 23 Apr  - 1 Jun 2024  
Bonne,Paris,https://www.galleriesnow.net/shows/dreams-of-the-san-8-painters-from-the-kalahari/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,Dreams of the San - 8 Painters from the Kalahari,"3 rue Notre Dame de Bonne Nouvelle, 75002",Tue-Sat 12-7pm, 18 Apr  - 29 Jun 2024  
Chantal Crousel,Paris,https://www.galleriesnow.net/shows/reena-spaulings-keep-on-truckin/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,"The cut-out rearticulates painting via a hard “Egyptian” contour, allowing Reena Spaulings to steal painting back from the window-like space of realism, Surrealism, etc. We are now in the dimension of the code, or sign-space. Abstraction becomes a sort of figure and the figure is like a letter that recodes space. The flattened-out, rotated, hieroglyph serves as a vehicle and support for everything else that makes the paintings paintings: color and gesture, speed and light, chaos and kitsch, etc.A cut-out acrobat becomes ensnared within the articulations of a rotating sign-apparatus, or perhaps leaps out and escapes. Almost a dance, almost an allegory. In the paintings, these two figures combine sometimes to form an abstract monster. Using a technique invented in Los Angeles by Albert Oehlen, Spaulings adheres these hybrid sign-creatures directly to the wall with rubber cement, like giant stickers. Others are mounted on wooden supports to give them a more sculptural presence in the space.",Reena Spaulings: Keep on Truckin’,"10 rue Charlot, 75003","Tue-Fri 10am-6pm, Sat 11am-7pm", 1 Jun  - 25 Jul 2024  
Chantal Crousel,Paris,https://www.galleriesnow.net/shows/yuki-kimura-time-paradox/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Yuki Kimura,https://www.galleriesnow.net/artist/yuki-kimura/,"Born in 1971 in Kyoto, Japan.Lives and works in Kyoto and Berlin.""Yuki Kimura’s work exists both as an elegant, static, physical form with a calmly assertive presence in space, and as an immaterial, wandering, and vibrating force reflective of all that exists around and throughout it—in the negative, so to speak. It initiates processes of transformation and is transformative itself, which may at first appear counterintuitive to its static appearance. The passive, mute, and durable world of objects and physical matter that one encounters in her work becomes a place of dynamic processes and shapeshifting, where the stable appearance and order of things are profoundly transformed. Kimura’s work operates beyond language, occupying an entirely visual sphere, but communicates at a highly visceral and embodied level of perception.""—Kathrin BenteleHer work has been the subject of solo exhibitions such as The Kunstverein für die Rheinlande und Westfalen-Düsseldorf, Düsseldorf (2022); CCA Wattis Institute, San Francisco (2016); Contemporary Art Museum St. Louis, St. Louis (2011); IZU PHOTO MUSEUM, Shizuoka (2010); Daiwa Press Viewing Room, Hiroshima (2009).She has been included in several international group shows such as Artists Space, New York (2019); Orange County Museum of Art, Newport Beach (2017); Museum of Modern Art, New York (2015); 30th São Paulo Biennial, São Paulo (2012); Le Plateau | Frac Île-de-France, Paris (2012); The National Museum of Art, Osaka (2011); MOT Collection, Museum of Contemporary Art Tokyo, Tokyo (2010); Mori Art Museum, Tokyo (2004); 6th International Istanbul Biennial, Istanbul (1999).Yuki Kimura’s works have joined the collections of Aichi Prefectural Museum of Art, Aichi; Dallas Museum of Art, Dallas; IZU PHOTO MUSEUM, Shizuoka; Kadist Art Foundation, San Francisco; Museum of Contemporary Art Tokyo, Tokyo; The Museum of Modern Art, New York; The National Museum of Art, Osaka; Vangi Sculpture Garden Museum, Shizuoka.",Yuki Kimura: Time Paradox,"10 rue Charlot, 75003","Tue-Fri 10am-6pm, Sat 11am-7pm", 1 Jun  - 25 Jul 2024  
Continua,Paris,https://www.galleriesnow.net/shows/yoan-capote-espinario/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Yoan Capote,https://www.galleriesnow.net/artist/yoan-capote/,"Taking an emotional approach to our world, the exhibition presents a selection of works exploring a variety of themes, but always linked to the artist’s socio-political reflections, such as migration and borders, the dialectic of life and death, control and freedom of expression. Essentially inspired by his personal experiences and their link with the social environment in which they are lived, Capote is constantly seeking to translate the complex emotional and psychological conflicts of the individual into the physical experience of his work.The name of the exhibition, ESPINARIO, comes from the small statue the “Spinario”, of a boy pulling a thorn from his foot, taken from a legend that inspired many artists from the Middle Ages to the Renaissance. This type of statuary dates from the 1st century BC and depicts a young shepherd removing a thorn from his foot. The best-known example of this theme is on display in the Hall of the Triumphs in the Palazzo dei Conservatori in Rome. The singular, graceful pose of this figure, caught in an unusual gesture, made it one of the most admired and copied works of the Renaissance. With a vitally important message to deliver, the shepherd boy only stopped to pull the thorn from his foot once his mission had been accomplished. While the foot was a symbol of freedom and mobility in ancient traditions, the thorn embodied obstacles, limitations and pain.The use of this myth in Capote’s work follows the characteristic metaphor of the artist as messenger, and shows his own involvement in the transmission of our shared ideas and feelings. In this way, the artist takes on the pain of the world around him, expressing it through his art and relieving people of their pain.Many of the works in the exhibition are new, and are the result of a sensitive examination of contemporary human behaviour, affected by power structures, the fragmentation of the family sphere, conflicting ideologies, fake news and censorship. The artist’s use of precise symbolism is informed by an in-depth analysis of the various inner psychological conflicts we face, individually or collectively, in many parts of the world today.Capote is presenting a new series, Sentimientos Encontrados, based on electrocardiograms collected by the artist from various Cuban individuals, expressing the fragmentation of Cuban society caused by grief and frustration. The use of these techniques manifest the artist’s turn towards abstraction in his artistic language. Made from saw blades, the rhythms of which are based on heartbeats taken from the electrocardiograms of various people in Cuba, the work evokes different ways of feeling and thinking about reality.A similar creative process led to the development of Espinario (síndrome de Procusto), practically echoing the name of the exhibition itself. Based on a work created by the artist in 2003, in which he tried to graphically represent the sound of his voice when he uttered the word “ silence ”, Espinario develops in greater depth his work on the transcription of sound as a creative material. This time, the graphic shapes of the word “ freedom ”, pronounced by many different people, are assembled in a grid pattern to create an aggressive and sharp surface, similar to a bed of thorns. On the other hand, in Lacerante (Paisaje de nostalgia), the artist received the voice files of several Cuban migrants saying words about their experience. Words like: Exile, uprooting, exodus, sadness, farewell, nostalgia, exile, melancholy etc. All these words were cut in bronze with green patina and brown rust corten steel in the size of trees in a maquette. Then all together fixed on an old wooden create a forest.Purification (struggimento) (2024) is a work made specially for the exhibition. Throughout PURIFICATION series Capote recycles and reworks chains, barbed wire fencing, handcuffs, and other metal detritus into alternate shapes and dimensions, there are moments of deconstruction, tension, aggression, and control. All this work process is shown at the gallery in a video that documents the sequences of actions and that contents the most powerful meaning on the work.The new works in the exhibition are presented in dialogue with earlier works by Capote, such as Speechless (2019), Autorretrato (estudio de resistencia) (2019), Obediencia (2019), in which the artist, through the representation of different parts of the human body, dilute the representation of individual experience in a collective empathy, or a social allusion.About the artist:Yoan Capote was born in Pinar del Río, Cuba, in 1977. He graduated from the National School of Art in 1995 and from the Higher Institute of Art in Havana in 2001.He has received distinctions such as the John Simon Guggenheim Foundation Fellowship (2006), the Pollock-Krasner Foundation Prize (2006) and the Vermont Study Center Fellowship (2002). At the 7th Havana Biennial (2000), he was awarded the UNESCO Prize, together with the DUPP artists’ collective. His work was part of the group exhibition at the Cuban Pavilion at the 54th Venice Biennale (2011) and at the Sydney Biennale (2022). A large-scale painting was exhibited at Art Basel Unlimited, 2022.His most important exhibitions include:This far and further (2023), Museum Voorlinden, The Netherlands;Mirador Circular, Galleria Continua, Havana; La Brèche, Galleria Continua, Paris, France; Landlors Color, Cranbrook Art Museum, Michigan, USA (2019); Sujeto Omitido, Galleria Continua, San Gimignano, Italy (2019); Baggage Claims, Frederick R. Weisman Art Museum, University of Minnesota, Minneapolis, USA (2019); Ola Cuba, Gare Saint Sauveur, Lille, France (2018); Cuban Art, traveling exhibition co-organized by the Mid- America Arts Alliance with the Center for Cuban Studies (NYC) (2018); Cuba mi amor, Galleria Continua, Les Moulins, France (2017); Art x Cuba, Ludwig Forum für Internationale Kunst, Aachen, Germany (2017); Overseas, Center for Contemporary Art Halle 14, Leipzig, Germany (2017); Relational Undercurrents: Contemporary Art of the Caribbean Archipelago, organized by Pacific Standard Time: LA/LA and The Getty. Museum of Latin American Art (MOLAA), Long Beach, CA, USA (2017); On the Horizon: Contemporary Cuban Art from the Jorge M. Pérez Collection, Pérez Art Museum Miami, Florida, USA (2017); Adios Utopia: Dreams and Deceptions in Cuban Art, 1950-2015, traveling exhibition at the Houston Museum of Fine Arts, Hirshhorn Museum, Washington, D.C. and The Walker Art Center, Minneapolis, Minnesota (2017); Cuba Libre, Ludwig Museum, Koblenz (2016).Yoan Capote has acquired a recognisable personal stamp with his famous hook paintings in the Island series, which illustrate themes close to the artist’s heart such as emigration, resistance, manipulation, stress, alienation, because they are common to human beings despite differences in context: immigration, resistance, manipulation, stress and alienation, all of which are common experiences of contemporary human beings, regardless of their differences in context. His work can be found in a number of prestigious public and private collections.",Yoan Capote: Espinario,"87 rue du Temple, 75003",Tue-Sat 11am-7pm, 2 Apr  - 28 May 2024  
Continua,Paris,https://www.galleriesnow.net/shows/barbana-bojadzi-ordered-fields/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Barbana Bojadzi,https://www.galleriesnow.net/artist/barbana-bojadzi/,"The title, “Ordered fields”, chosen by the artist, contrasts sharply with the impression of chaos emanating from her works. Her paintings, approached as landscapes, stem from layers of colors on panels commonly used in construction. She discovered this construction material by watching her father work and developed a desire to experiment with the material while subverting traditional painting on wooden panels. These “panels” are both solid and transformable, giving Barbana Bojadzi the freedom she seeks: she can reuse them by reclaiming construction waste or decide to rework her old works, creating a flow of permanent evolution.Barbana Bojadzi strives to capture an immediate perception of our world without having to interpret gestures, traces, and figures in time. Reflecting the inherent humility and simplicity of her work, her technique is rooted in the search for recurring patterns, which she will use and reinterpret. She draws inspiration from music, whether through simple themes sung repetitively in reform music or focused on experimentation and improvisation. She develops the same relationship with her paintings. The humble and common material used in her works is subjected to slow and repetitive gestures and to external “accidents” that the artist constantly integrates into her practice. Paint drips are incorporated into her compositions, and natural forces like the wind can influence the shape of the panels, sometimes breaking them and forcing the artist to reduce and rework them. Painting mostly outdoors, Barbana Bojadzi is forced to compose her works in the face of contingencies and to push her experimentation further.She views painting as the confrontation of different levels of language, leading her to use multiple layers of colors and materials, painting and “sculpting” the surface to reveal its stratifications. These landscapes are thus built and rebuilt over time, through additions or removals of material, to reveal their wounds, traces, and changes. To see Barbana Bojadzi’s works, one must be able to pause: to contemplate them, taking the time to observe every detail and corner, discerning a new detail, a new complexity.The edge of the work often reveals the color of the original material, allowing those who know it to identify it. By working on several works at once and almost constantly using already used panels, the artist gives free rein to her freedom. The works can thus be assembled like pieces of a puzzle or divided into several pieces, infinitely nourishing the artist’s creative process. Seeking to liberate and free her gesture, she goes as far as to create her own tools and instruments of work, to be constrained neither by the material nor by the elements with which she will transform it. Her artistic practice is therefore primarily a formal search for freedom.About the artist:Born in 1996, Barbana Bojadzi is an artist originally from Kosovo who currently lives and works in Provins, France. She graduated from the École Nationale Supérieure des Beaux-Arts in Paris in 2021, with honors from the jury. At the Beaux-Arts, she was mentored by Dominique Gauthier, Nina Childress, and Dominique Figarella.In her artistic practice, Barbana Bojadzi is particularly interested in the memory associated to gesture, the idea of imprint, and its relation to Time. Her artworks are characterized by the accumulation of layers, colors, and textures, thus creating a stratification of meanings and materials, where the image emerges by a mechanism of extraction. Barbana Bojadzi is always seeking new technical processes, highlighting used and reclaimed materials that reflect the humility and simplicity we find in her work.Barbana Bojadzi recently won the Khalil de Chazournes Prize, awarded by the Amis des Beaux-Arts de Paris, as well as the 2023 Sisley Prize for young creation, and one of her works is now part of the Société Générale Art Collection. She was also part of many group shows, including “Société Générale Art Collection” at the Société Générale Tower, Puteaux (France), “Felicità” at POUSH, Aubervilliers (France).",Barbana Bojadzi: Ordered Fields,"87 rue du Temple, 75003",Tue-Sat 11am-7pm, 2 Apr  - 28 May 2024  
Continua,Paris,https://www.galleriesnow.net/shows/carlos-cruz-diez-leuphorie-de-la-couleur/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Carlos Cruz-Díez,https://www.galleriesnow.net/artist/carlos-cruz-diez/,"A major figure in contemporary art, a pioneer of kinetic art (1923-2019), Cruz-Diez is an undisputed master of colour. Throughout his career, he has experimented with and developed a large number of proposals that have remained emblematic of his artistic language. In tune with the profound societal changes taking place around him, he dedicated himself to inventing a new body of work, exploring unconventional techniques and technologies that would play a decisive role in his approach.Carlos Cruz-Diez was thirty-seven years old when, in 1960, he decided to leave Caracas and move to Paris with his family. After studying at the Académie des Beaux-Arts and a long spell as an illustrator, he chose the cultural vibrancy of Paris to pursue his investigation of perceptual-sensory dynamics.“The Euphoria of Colour” (“L’euphorie de la couleur”) presents the highlights of Carlos Cruz-Diez’s artistic career, exploring his theory of colour through some of his most emblematic works.The landmark works Fisicromía 54 and Fisicromía 55 (1962) and Objeto rítmico móvil manipulable (1956) represent the beginnings of the artist’s research into the dissociation of the binomial of form and colour and the fragmentation of the plane, research that the artist approached in order to transcend the notions of the purpose of art.This exhibition presents five of the eight proposals developed by the artist, based on three colour conditions (subtractive, additive and reflective), each of them responding to different colour behaviours.The Couleur Additive (1959) is based on the radiation of colours. When one colour plane touches another, a coloured line appears at the point of contact. And yet this virtual colour is not in the medium. By isolating this optical phenomenon, Cruz-Diez obtains what are known as “chromatic event modules”, responsible for the continuous transformation of colour.The Physichromie (1959) are structures designed to reveal certain circumstances and conditions related to colour, changing according to the movement of the viewer and the intensity of the light, and thus projecting colour into space to create an evolutionary situation of additive, reflective, and subtractive colour. The movement of the viewer or the light source creates a series of chromatic variations.The Inductions Chromatiques (1963) are closely related to the phenomenon of after-image, or retinal persistence. In other words, the retina of the eye, after gazing at a coloured plane for a certain length of time, retains, even after the observer has looked away, an image of the plane – but now in the induced colour or complementary colour. Inductions Chromatiques make visible a phenomenon that can only be captured momentarily and in very specific circumstances. The colour that appears is and is not – it has a virtual existence – but is just as real as the pigments used.Induction Chromatique à double fréquence (2018) on the long wall of the corridor is one of the monumental works whose format relates to the architecture of the space. The viewer’s movements around the work, as well as the viewing distance and luminosity, reveal with greater force and precision the chromatic changes and effects that appear and disappear in the course of the dialogue generated between the viewer and the work, making walking an aesthetic act.The Chromointerferences (1964) result from the superimposition of parallel lines (modules of chromatic events) modulating the colouring of the work according to the distance from which the viewer looks at it. Created during a silk-screening project focusing on Couleur Additive, the artist overlaid a transparent sheet of plastic and observed the colour interferences. These cause blurred vision and generate colour ranges that are invisible on the original medium.The Pyramide Chromointerférente (2007) creates a situation of immateriality, revealing the transfiguration and ambiguity of colour. By projecting moving chromatic interference modules onto the volume, the pyramid becomes transparent and virtually changes shape and condition.The Transchromies (1965) are based on the behaviour of colour by subtraction. Transparent coloured slats are used at different distances and in a specific order to play on the intensity of the light and the ambient colour. The resulting modular transparency allows the viewer to see partially through the colours.About the artist:Cruz-Diez’s work has been the subject of numerous solo and group exhibitions around the world. His works can be found in the following prestigious collections: Museum of Modern Art (MoMA), New York;Tate Modern, London;Musée d’Art Moderne de la Ville de Paris;Centre Pompidou, Paris;Museum of Fine Arts, Houston; Wallraf-Richartz Museum, Cologne; Museum of Contemporary Art (MOCA), Los Angeles;Hirshhorn Museum and Sculpture Garden, Washington, D.C.; Louisiana Museum of Modern Art, Humlebæk, to name but a few.Among the many awards he has received are Friend of Human Rights, International Solidarity for Human Rights, Miami;Penagos de Dibujo Prize, Fundación Mapfre, Madrid; Officier de l’Ordre national de la Légion d’honneur, Paris; Gold Medal, Americas Society/ Council of the Americas, New York;Gold Medal, Norwegian International Print Triennial, Oslo;Honorary Doctorate posthumously, Central University of Venezuela, Caracas.In 2005, the Cruz-Diez Foundation was created, a non-profit organisation founded at the initiative of the artist and his family, dedicated to the conservation, dissemination and promotion of his artistic and conceptual legacy.From summer 2023, a number of institutions joined forces with the family, the studios and the Cruz-Diez Foundation to celebrate the centenary of the 20th century’s last thinker on colour. A major retrospective at the Centre Pompidou Málaga is now open until September 2024.Galleria Continua’s representation of the artist, which began in 2022, also led to the production of the book Color en el plano / Color en el espacio, published in 2023.",Carlos Cruz-Diez: L’Euphorie de la couleur,"87 rue du Temple, 75003",Tue-Sat 11am-7pm, 2 Apr  - 28 May 2024  
