galery_name,gallery_link,gallery_imgs
Almine Rech,https://www.galleriesnow.net/gallery/almine-rech-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-UES-Women-in-Abstraction-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-Tribeca-Leelee-Kimmel-4.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-Tribeca-Thu-Van-Tran-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/GON0005-GWEN-ONEIL-20024_100463.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/ANA-KARKAR-WHOLE-COOKIE-POSTER.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/HSA0062-HAJIME-SORAYAMA.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/ILO0059-INES-LONGEVIAL-2024.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Ryoji-Ikeda.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Wessellmann.jpg""]"
"Almine Rech, Matignon",https://www.galleriesnow.net/gallery/almine-rech-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-UES-Women-in-Abstraction-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-Tribeca-Leelee-Kimmel-4.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Almine-Rech-Tribeca-Thu-Van-Tran-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/GON0005-GWEN-ONEIL-20024_100463.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/ANA-KARKAR-WHOLE-COOKIE-POSTER.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/HSA0062-HAJIME-SORAYAMA.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/ILO0059-INES-LONGEVIAL-2024.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Ryoji-Ikeda.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Wessellmann.jpg""]"
Art: Concept,https://www.galleriesnow.net/gallery/art-concept/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Achaintre.jpg""]"
Bigaignon,https://www.galleriesnow.net/gallery/bigaignon/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Bigaignon-Chris-McCaw-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Bigaignon_Gibson-Plossu_EN.jpg""]"
Bonne,https://www.galleriesnow.net/gallery/bonne-esperance-gallery/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/Jan-Tcega-John-The-Fall-of-the-Cheetah-135-x-100cm.jpeg""]"
Chantal Crousel,https://www.galleriesnow.net/gallery/galerie-chantal-crousel/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/YK_GCC_2024_HD.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/RS_GCC_2024.jpg""]"
Continua,https://www.galleriesnow.net/gallery/galleria-continua/,"[""https://www.galleriesnow.net/wp-content/uploads/2022/10/Galleria-Continua-Les-Moulins-Michelangelo-Pistoletto-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2023/06/Galleria-Continua-Les-Moulins-The-Ability-to-Dream-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2023/10/Galleria-Continua-Les-Moulins-Julio-Le-Parc-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/01/Galleria-Continua-Les-Moulins-De-fil-en-aiguille-3.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Galleria-Continua-Paris-Barbana-Bojadzi-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Galleria-Continua-Paris-Yoan-Capote-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Galleria-Continua-Paris-Carlos-Cruz-Diez-1.jpg""]"
Gagosian Le Bourget,https://www.galleriesnow.net/gallery/gagosian/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Gagosian-Beverly-Hills-Jean-Michel-Basquiat-9.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Hong-Kong-Andy-Warhol-Long-Shadow-8.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Rome-Oscar-Murillo-5.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-Le-Bourget-Theaster-Gates-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Gagosian-976-Madison-Avenue-Anselm-Kiefer-6.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/2024_NY522_CATTE_002.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Gagosian-Neil-Jenney-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/WHITN_2023.0049.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Nan-Goldin.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Alex-Israel.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Giacometti-Nauman-Picasso.jpg""]"
Galerie Georges-Philippe & Nathalie Vallois,https://www.galleriesnow.net/gallery/galerie-vallois/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/ceux-qui-brulent-les-incarnatrices-3-958x1000-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Albarracin-thumb.jpg""]"
Galerie Maria Wettergren,https://www.galleriesnow.net/gallery/galerie-maria-wettergren/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/Tora-Urup.jpg""]"
