id,name,location,type,rating,year,img,link,lat,lng
1,Tapio,Ruka,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/3b89f80e725e4d9ab84878f562262aae"" width=""362"" height=""203",https://guide.michelin.com//en/north-ostrobothnia/ruka_1700338/restaurant/tapio,66.166565,29.138601
2,Hermetikken,Stavanger,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/58856a195ba04eee9d2871ffbe4a2380"" width=""362"" height=""203",https://guide.michelin.com//en/rogaland/stavanger/restaurant/hermetikken,58.967578,5.722146
3,Restaurant Aure,Copenhagen,Creative,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a1211b8677a74d15b49296182ce73bb2"" width=""362"" height=""203",https://guide.michelin.com//en/capital-region/copenhagen/restaurant/restaurant-aure,55.684166,12.610397
4,The ROOM by Kozeen Shiwan,Helsinki,Creative,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/51df19fd8a9841649560b7ede4df8950"" width=""362"" height=""203",https://guide.michelin.com//en/uusimaa/helsinki/restaurant/the-room-by-kozeen-shiwan,60.167991,24.951237
5,Frederiksminde,Præstø,Modern Cuisine,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/fa99bfd3934c4528b6b85724b0ff234b"" width=""362"" height=""203",https://guide.michelin.com//en/zealand/praesto/restaurant/frederiksminde,55.12424,12.049009
6,Gastromé,Aarhus,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/1498fdd4154a4e0f836557df7ccd9eb9"" width=""362"" height=""203",https://guide.michelin.com//en/central-denmark/aarhus/restaurant/gastrome,56.187032,10.217783
7,Frederikshøj,Aarhus,Creative,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/cbd745d83f2548918e73427ef8cccc77"" width=""362"" height=""203",https://guide.michelin.com//en/central-denmark/aarhus/restaurant/frederikshoj,56.124947,10.208926
8,Domestic,Aarhus,Modern Cuisine,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/5c8b22a623774426af43668c430e75b2"" width=""362"" height=""203",https://guide.michelin.com//en/central-denmark/aarhus/restaurant/domestic,56.159019,10.212032
9,Kadeau Copenhagen,Copenhagen,Creative,3,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f6b3ea79b30f4ef2bb02247ac36f4841"" width=""362"" height=""203",https://guide.michelin.com//en/capital-region/copenhagen/restaurant/kadeau-copenhagen,55.672295,12.588814
10,Lysverket,Bergen,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b9b40ecff8d24f1fb8a7fbd53a0bc69d"" width=""362"" height=""203",https://guide.michelin.com//en/hordaland/bergen/restaurant/lysverket,60.389308,5.328962
11,Seafood Gastro,Stockholm,Seafood,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7a676831baf4449eb35c804138d9e51a"" width=""362"" height=""203",https://guide.michelin.com//en/stockholm-region/stockholm/restaurant/seafood-gastro,59.329457,18.075677
12,Iris,Rosendal,Creative,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ada94104307f4afd9aa720bfe5c8c094"" width=""362"" height=""203",https://guide.michelin.com//en/vestland/rosendal_2258329/restaurant/iris,59.984661,5.933919
13,Moss,Grindavík,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f375a58d2a9448da9d7d75629836df7b"" width=""362"" height=""203",https://guide.michelin.com//en/southern-peninsula/grindavik/restaurant/moss,63.879826,-22.450119
14,Ekstedt,Stockholm,Grills,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/0909b5ba782a4bc3ab615a8584158fcd"" width=""362"" height=""203",https://guide.michelin.com//en/stockholm-region/stockholm/restaurant/ekstedt,59.336769,18.074796
15,Project,Gothenburg,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ddfaeb88bbd649d7b77bb89c25477f93"" width=""362"" height=""203",https://guide.michelin.com//en/vastra-gotaland/gothenburg/restaurant/project,57.697975,11.982515
16,Koka,Gothenburg,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/01e34b4dc77b444786df65607ee0d868"" width=""362"" height=""203",https://guide.michelin.com//en/vastra-gotaland/gothenburg/restaurant/koka,57.6986,11.965472
17,Operakällaren,Stockholm,Classic Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/d5a6bbe4f6e64758a74359debe20defa"" width=""362"" height=""203",https://guide.michelin.com//en/stockholm-region/stockholm/restaurant/operakallaren,59.329819,18.071323
18,Marchal,Copenhagen,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/14a087f56a5e460cb899c64de1d9ff33"" width=""362"" height=""203",https://guide.michelin.com//en/capital-region/copenhagen/restaurant/marchal,55.68064,12.584676
19,ARO,Odense,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4bd638963117458392ca09cd6bf19f13"" width=""362"" height=""203",https://guide.michelin.com//en/southern-denmark/odense/restaurant/aro,55.402201,10.408136
20,Substans,Aarhus,Creative,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/632e58aa141146a39800e2eb417295e2"" width=""362"" height=""203",https://guide.michelin.com//en/central-denmark/aarhus/restaurant/substans,56.165526,10.226684
