galery_name,city_name,exhibition_link,exhibition_image_link,artist_name,artist_link,exhibition_description,exhibition_name,galery_adress,open hours,time_period
A arte Invernizzi,Milan,https://www.galleriesnow.net/shows/pino-pinelli/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Pino Pinelli,https://www.galleriesnow.net/artist/pino-pinelli/,"From the beginning of the 1970s, Pino Pinelli redefined the concept of pictorial space, bringing the colour of his monochrome canvases to overflow from the limits of the painting. This overflowing reaches extreme results in the middle of the decade when his works, created with painted material in which the arrangement of colours becomes body, physical and real presence become autonomous figures immersed in space. His work has always been conceived as a pictorial body, as an organism that occupies space thanks to the action of the gesture that builds its trajectories, concentrations and dilations, which contribute to the creation of a unified vision. As Pinelli himself states in the interview with Tommaso Trini “in each of my works it is as if I had fragmented the monochrome and disseminated it in space. The ‘frammentità’ [fragments] are entities that always arrange themselves autonomously in space according to this throwing gesture. In this way, I wanted to renew not painting as a genre, but my personal grammar of ‘painting-making’”. The material enhances the tactility of the chromatic value, which gives presence to the forms and leads to an involvement of the viewer in the here and now of the visual experience.The exhibition is conceived as a single itinerary through the two Milanese galleries, where the artist has been the protagonist - over the years - of numerous solo and group exhibitions: starting in the late 1970s at the Artra gallery and continuing in the 1990s and 2000s at A arte Invernizzi.At A arte Invernizzi, the exhibition is articulated on the two floors of the gallery, proposing large works, created between the late 1980s and early 1990s, which immediately manifest themselves as true tactile presences, thanks to the chromatic accords that create vibrant surfaces. The works are representative of Pinelli’s reflection on “dissemination”, in which the forms are no longer circumscribed within the limits of the frame but are free to dispose themselves on the wall, conceived as an active element in the realisation of the work. The upper floor of the gallery exhibits works belonging to the “Pitture” cycle, in which we witness a spatial and perceptive investigation, where each individual fragment contributes to creating the outline of the work. The work Pittura B/G (1991), in which round shapes of different sizes stand out superimposed on the surface of the wall in a circular rhythm, also emphasised by the alternation of the colours yellow and white, dialogues with Pittura N/G, also made up of circular figures that intersect, accentuating the work’s dynamism. The second room on the upper floor is instead entirely dedicated to works from the 1970s, such as Pittura R. (1975), Pittura B. R. B. (1975) and Pittura Rossa (1973), the latter work to which Tommaso Trini refers, in the interview in the catalogue, when he speaks of a “visionary work, like a red square suddenly waving in the sparse Martian atmosphere, a red square that the painter unfurls as if it were the cloth of a flag, whose virtual waving suggests air and life”. The lower floor houses five large disseminations from the late 1980s, such as Pittura N. G. (1989) and two large works in which Pinelli exalts more the “skin” of painting, highlighting seeds and roots of its infinite making.Galleria Artra held the artist’s first pesonal exhibition in 1979, showing works from the mid-1970s such as Pittura GR (1977) and some works from the “Pittura” cycle of 1976, which will be presented again on this exhibiting occasion. These are some of the works with which Pinelli began his reflection on the work as a pictorial body, released from the limits of the painting and free to expand and occupy space. In particular with Pittura GR (1977) the elements that make up the work suggest the perimeter of a square, broken and fragmented, whose sides open up and extend onto the wall.With Pittura B (1977) and Pittura GR (1978) there is a progression of several elements, which are arranged following an arched trajectory, creating tensions and leaps in contrast to the fixity of the wall and new balances in continuous movement. These works are part of the research on dissemination that the artist continued in the following decades and that finds its most complete outcome in the installation Pittura G. VR. VL. AR. (1982) where 12 elements played on the alternation of primary and complementary colours are freely arranged on the wall surface. Alongside these works, the work Pittura (1977) will also be displayed, as well as various other installations presented in solo exhibitions at the gallery in 1982 and 1985.The two exhibitions constitute a new opportunity to rediscover one of the most intense and productive periods of Pinelli’s activity, which constantly reinvented his language by seeking an active and continuous dialogue between work, space and spectator.On the occasion of the exhibitions, a bilingual catalogue will be published with an interview with Pino Pinelli by Tommaso Trini edited by Daniela Domina, a text by Carlo Invernizzi, reproductions of the works on display, and an updated bio-bibliographic section.A special thanks to Archivio Pino Pinelli.",Pino Pinelli,"Via Domenico Scarlatti 12, 20124","Mon-Fri 10am-1pm & 3pm-7pm, Sat by appointment", 21 May  - 16 Jul 2024  
A. SQUIRE,London West End,https://www.galleriesnow.net/shows/pluto/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,Ryan Huggins: PLUTO,"3 Princeton St, WC1R 4AX","LGW opening times (31 May - 2 Jun): Fri & Sat 11am-6pm, Sun 12-5pm", 25 May  - 6 Jul 2024  
A.I.,London,https://www.galleriesnow.net/shows/after-the-rain/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Yuki Nakayama,https://www.galleriesnow.net/artist/yuki-nakayama/,"HOP，SKIP，JUMP，SWING，>>> S>>> >> L>>> >>> >>> I>>> >>> >>> >>> D>>> >>> >>> >>> >>> >>> EAfter the Rain explores the dynamic relationship between space, play and decision-making in emphasising how spatial elements influence our actions and outcomes. For the realisation of this project, the artist responded to the architecture of the gallery space and in particular, its subterranean swimming pool manifesting in larger-than-life structures and sculpted mounds of playground sand set against a five metre topographical painting.About the artistNakayama’s works are a dialogue between objects in space as she explores the movement of stillness and its playful act. Using superimposed perspectives, her paintings explore the stillness of an object, its volume, and its environment. Each character has its own rhythm, claiming their relationships to one another. The objects are the pivoting points in which the shadows explore the crevices of its surroundings. They absorb and reflect like sound travelling between and within. Inviting the eyes to fluidly change in scale as one moves through and beyond.In 2008, Nakayama decided to move to New York to pursue her passion for the arts. She is a graduate from Parsons the New School for Design and The Cooper Union, where she studied architecture.",Yuki Nakayama: After the Rain,"1a Tenter Ground, E1 7NH",Wed-Sat 12-5pm, 14 Mar  - 2 Jun 2024  
Ab-Anbar,London West End,https://www.galleriesnow.net/shows/nil-yalter-the-story-behind-each-word-must-be-told/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Nil Yalter,https://www.galleriesnow.net/artist/nil-yalter/,"It is a fragile world we live in, made of many intricate processes like an ongoing spider web.No word stands alone to explain this fragility and intricacy. And the responsibility of being human comes from telling the story behind each word, so that there is no mistake in what is meant. For more than half a century, Nil Yalter’s work has been dedicated to uncovering the strength, resilience and hope that makes this fragile, intricate core, through stories of people that keep the world running with a deep critique of intersectional injustice. She has woven these stories with elements she borrowed from the ancient oral and visual traditions of Anatolia and codes of modernism she felt close to. The Story Behind Each Word Must Be Told focuses on one of the central threads of Yalter’s practice coming from the nomadic lives and their resistance in Aşık tradition in Anatolia for centuries: the word and the utterance, its sound and its music. From Topak Ev (1973) to D’Après Stimmung (1973), Shaman (1979), Exile is A Hard Job - Estranged Doors (1983) to Pixelismus (La Chora) (1993), Sound of Painting (2008) and Lord Byron Meets Shaman Woman (2009), she deals with the word and its intricate utterance in visual and oral forms.The Story Behind Each Word Must Be Told is inspired by the LP vinyl record “le chant des troubadours de turquie: Achik Nesimi” that Nil Yalter produced in collaboration with Bernard Dupaigne for Aşık Nesimi Çimen in 1979, who was at that time in exile in Paris. Born in Adana, Turkey, in 1931, Nesimi was the master of cura as one of the leading bards of his generation that connected the centuries old Aşık tradition with contemporary issues and struggles of his time. The exhibition also involves a performative element, a music and word-based gathering tributing Aşık Nesimi and his special friendship with Yalter as part of London Gallery Weekend.ARTIST BIOGRAPHYNil Yalter (b.1938, Cairo, Egypt), lives and works in Paris. A pioneer in the French feminist art movement of the 1970s, Yalter was educated at Robert College, the prestigious American secondary educational institution in Istanbul. While she was engaged in dance, theatre and painting during this time, she also practised pantomime and travelled by foot to India as a pantomime artist. Yalter has lived in Paris since 1965. She participated in the French counter culture and revolutionary political movement of the late 1960s, immersing herself in the debates around gender, migrant workers from Turkey, and other issues of the time. These social movements and ethnographic science have influenced the artist’s videos, performances and installations from the 1970s in the form of an idiosyncratic, pluralistic aesthetics. The influence of abstract traditions, especially that of Russian constructivism can be observed in her paintings and digital works since her early years. Nil Yalter’s works reflect a style that blends together all these influences along with autobiographical elements where the personal and the political intertwine.Nil Yalter is the recipient of the Golden Lion for Lifetime Achievement of the Venice Biennale 2024. Her works are part of institutional collections such as the Tate Modern, the Centre Pompidou, the Ludwig Museum and the Long Beach Museum, among others, as well as private collections such as the Art Collection Telecom, Colección Olor Visual, Reydan Weiss Collection and Fundación Foto Colectania. She has participated in international art fairs such as Art Basel Basel, ARCO Madrid, Art Cologne, FIAC, Frieze Masters, Armory Show, Frieze y Frieze NY, to cite a few, as well as the 10th Gwangju Biennial in 2014, the 15th Sharjah Biennial in 2023, the 13th Istanbul Biennial in 2013 and selected for the 60th Venice Biennale. Among her most recent solo exhibitions stand out examples such the ones at the Museum Ludwig, the MAC-VAL and the Hessel Museum of Art in 2019, the FRAC Lorraine and the ARTER space for art in Istanbul in 2016, and the ones at the Centre Pompidou in 2012 and 2010. Her work has been part of group exhibitions at the MoMa New York in 2023, Palais de Beaux-Arts in Paris in 2018, the WIELS. The Absent Museum in Brussels in 2017, the New Tate Modern in London in 2016, the Centre Georges Pompidou in 2013 and 2009, the Long Beach Museum of Los Angeles in 2011, the PS1 MOMA in 2008 and the CGAC in Santiago de Compostela in 2007, among many others.",Nil Yalter: The Story Behind Each Word Must Be Told,"34 Mortimer St, W1W 7JS",Tue-Sat 11am-6pm, 30 May  - 10 Aug 2024  
Acquavella Galleries,New York Upper East Side,https://www.galleriesnow.net/shows/wayne-thiebaud-summer-days/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Wayne Thiebaud,https://www.galleriesnow.net/artist/wayne-thiebaud/,"Wayne Thiebaud rose to prominence in the 1960s at the same time as Pop artists Andy Warhol, Roy Lichtenstein, and James Rosenquist, though he did not feel aligned with the movement. Unlike these contemporaries, many of whom embraced commercial techniques, Thiebaud described himself as a traditional painter of illusionistic forms. He repeatedly tackled familiar, everyday subjects to challenge and explore the formal possibilities of painting. His meticulously crafted surfaces are steeped with art historical references and a subtle longing for a sweeter time.In Strawberry Cone (1969) the simplicity of the composition highlights Thiebaud’s technical approach to his paintings. Richly painted in pastel shades of pink, the ice cream emerges almost sculpturally against a stark, blank background, its thick layers of paint bulging past the flat plane of the canvas. Dedicated to a tradition of figuration, Thiebaud’s Strawberry Cone demonstrates the artist’s strength in color and masterful use of impasto and brushwork, with the swaths of creamy paint suggesting the ice cream melting in front of the viewer. His painting Jolly Cones (2002) reflects his sustained interest in the role of sweets as a collective experience, imbuing the painting with the same strain of nostalgia that he employed nearly four decades earlier.Though most famous for his persistent rendering of still lifes, portraiture and landscapes were also central to the artist’s practice over the many decades of his career. His portraits reflect a similar modality as his scenes of food– highly stylized, colorful subjects set against distilled backgrounds. Betty Jean (1965) presents the artist’s wife sporting a striped swimsuit in profile, extending her focus past the edge of the frame. Rendering the face with a playful veracity, Thiebaud subverts the image subtly by changing the perspective of the torso to a three-quarters position, flattening the swimsuit’s stripes against the contours of the body. The brightly patterned swimsuit creates a moment of technical interest and abstraction that hints at a body in motion, ready to dip into summer’s waters.This same subversion of perspective also defines the artist’s landscapes, blending points of view to create dreamy realities of the beach bending against water and heat. Tidelines (2004–2014) pushes the artist’s strength in landscapes to its limits, casting his beachgoers into oscillating passages of color. In the foreground, the beachgoers buzz with detail and motion, inducing a feeling of summer ease and nostalgia. As the painting recedes, however, the rendering of the beach distorts and twirls. In lucid hues of yellow, purple, and blue, Thiebaud disrupts the atmospheric perspective with a quickening flatness, rejecting the vanishing point for an absorbing color field thick with movement and animated brushwork. Echoing lapping waves and the long hours of summer days, Tidelines welcomes the viewer into a hypnotizing scene reminiscent of calm, playful vacations in thick heat.Wayne Thiebaud: Summer Days tracks the career of the artist over six decades, revealing his retained interest in lighthearted subjects while casting them in traditional modes of painting. This exhibition celebrates the artist’s regard for the delights of the quintessentially American summer experience, from its sweet ice creams and chilled soda pops to beach games and barbecues, melting a grey winter into a fading memory. In his paintings, an American nostalgia gently invites the viewer into the season’s space, readying them for warmer days ahead.The exhibition will be accompanied by an illustrated catalogue with essays by curator and art historian Steven Nash and art historian Mary Okin.",Wayne Thiebaud: Summer Days,"18 East 79th Street, NY 10075","Mon-Fri 10am-5pm, Sat 11am-5pm", 26 Apr  - 14 Jun 2024  
Addis Fine Art Addis Ababa,Addis Ababa,https://www.galleriesnow.net/shows/addis-gezahegn-floating-city/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Addis Gezahegn,https://www.galleriesnow.net/artist/addis-gezahegn/,"These patchwork cityscapes are not the straight geometric lines of low cost apartment housing that have exploded in this city. They capture the random pattern of living, one structure on top of another, that has gradually and organically developed. Their visual language is linked to society's rituals and patterns — there are no individual lives here. Like the knitted pattern of a blanket, people’s lives are incontrovertibly interlinked.Addis has adopted an abstract and simplified approach to his previous Floating City and Floating Tower series, compressing details into form, line and warm colour. Zooming in and out of this landscape, we enter the windows of people's interiors, bringing human figures into these physical locales. Addis forces us to confront the loss of vitality in these rapidly disappearing structures.Layers of paint like a dossier of files narrate what takes place in these interiors. The imagined subsections of these cityscapes offer a glimpse into the absurdity of modern life, as we rush towards urbanization at the cost of so much for the poor and disenfranchised.",Addis Gezahegn: Floating City,"NOAH Centrum Building, Bole Atlas,",Mon-Sat 10am-6pm, 31 Mar  - 2 Jun 2024  
Addis Fine Art London,London West End,https://www.galleriesnow.net/shows/amel-bashier-ward-el-juri/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Amel Bashier,https://www.galleriesnow.net/artist/amel-bashier/,"Amel’s works are reflections on the nature and possibilities of freedom. She paints towards the liberation of women, symbolically connecting this emancipation with the growth and persistence of the natural world. The women in her paintings, semi-mythical images of bravery and power, stare boldly back at their viewer. The flowers, leaves, and twisting stems represent the vital force within us, and the promise of flourishing blossoms when adequately nourished and nurtured. Sometimes these natural elements come from memories or stories, which interweave her personal relationships into the narratives of the works.Her art is as socially engaged as it is poetic. She explores themes of peace and freedom in the context of ongoing war in her home country of Sudan. The nation-wide war in Sudan has now been waging for over a year, displacing millions and pushing the country to the brink of famine. Hymns of Peace visualises this conflict, and seeks a better outcome. The artworks in this collection become like seeds, planting alternative visions for a positive future.Amel’s artistic practice brings together pointillism, intricate ink drawings, and painting. Meticulous and methodical, Bashier applies thousands of small dots from the nib of her pen to create an imperceptibly solid composition. This meditative practice also offers her personal catharsis from the traumas endured by her homeland.Amel Bashier (b. 1981) was born in Jeddah, Saudi Arabia and spent her childhood between Jeddah and Port Sudan in Sudan, on the Red Sea. While she is now based in Paris, her intricate pointillist paintings draw inspiration from the strength and wisdom of her female ancestors, particularly those who fought and struggled for their rights. Bashier’s work has been included in solo and group exhibitions in London, Paris, Cairo, Dubai, Nairobi, Sharjah, Abu Dhabi, and Khartoum.",Amel Bashier: ورد الجوري ‘Ward el Juri’,"21 Eastcastle Street, W1W  8DD","Tue-Fri 11am-6pm, Sat 12-5pm", 24 Apr  - 15 Jun 2024  
Alfonso Artiaco,Naples,https://www.galleriesnow.net/shows/jana-schroder-d-a-m/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Jana Schröder,https://www.galleriesnow.net/artist/jana-schroder/,"The exhibition grew out of the artist's interest in the legacy that Diego Armando Maradona left to the city of Naples. During a previous stay of hers, Jana Schröder was amazed at how gadgets, T-shirts, flags and scale reproductions of Maradona in the colors of the Neapolitan team invaded every street. The blue and white colors create a recurring landscape with cheerful and fun, almost familiar tones. Therefore, although the artist has no particular football interests, he decided to undertake a production whose colors recalled the connection with Maradona's Napoli.""El Pibe de Oro"" represents for Neapolitans the revenge of an area that until the 1980s had always remained on the margins. The popular identification in that young Argentine boy, raised in the most deprived suburbs of Buenos Aires, who led the team and the city to indelible victories ensured that the memory did not fade over time and that his figure became a myth.Thus the large abstract white and blue paintings in the gallery rooms symbolize Maradona challenging the colors of other teams. Ideal teams that are pitted against each other in the gallery rooms with canvases of different colors ranging from acerbic green tones to orange to bright pink. The arrangement of the works does not follow the typical pattern; rather, the works stand in the space like soccer players on the field. In addition to the eleven canvases, there are eleven works on paper in the main room that reproduce an ideal formation made up of goalkeepers, defenders, midfielders and forwards, lined up as in a soccer scheme.Each work follows declinations of shades of the same color combined with white. What varies is the texture of the gesture and its impression on the canvas. The artist also plays with lines and shapes, seemingly random, which instead subtend a pattern consisting of lines of different thickness, now sinuous now geometric that chase each other across the canvas. In pursuit of the rapid drying times of acrylic, the multidirectional movements of the fast brushstrokes become symbols of the purest pictorial gesture. Like a dense net that, however, does not trap the viewer, but acts as a bank accompanying his gaze.Jana Schröder was born in 1983 in Brilon, DE.She lives and works in Düsseldorf, DE.Schröder’s artistic practice is based on the action of painting itself. The formalist education in the class of Albert Oehlen at the Kunstakademie Düsseldorf deeply influenced her in producing paintings characterized by sinuous brushstrokes that guide the viewer in the discovery of a complex composition through many layers of color. Schröder’s practice is a meditation on process and repetition, slowness and speed, the process becomes part of the work. Lines, grids or rhythmised webs suggest the elusive movement of her hand. Her research reveals that every painting, every paperwork strikes out with its own experience and composes itself as an individual sign. Schröder operates with the aesthetic matter of everyday scribbling holding something the application of colour longs for: spontaneous, casual, and self-evident originality. The deliberation of such moments is a relief of gestures which in its nebulous density of information prevents any reconstruction of the painterly act, is contrasted by parts of more frenzied, quickly-applied paint which register the trace of the artist’s decisive hand at work.",Jana Schröder: D. A. M.,"Piazzetta Nilo n.7, 80134",Mon-Sat 10am-7pm, 3 May  - 22 Jun 2024  
Alice Amati,London,https://www.galleriesnow.net/shows/yi-to-to-be-dispersed-not-to-disappear/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Yi To,https://www.galleriesnow.net/artist/yi-to/,"The metaphor of excavation plots the line of enlightenment. Ours has been a constant search for the grammar of life: methods by which we can extract sense from non-sense, decipher meaning from chaos, find vocabulary for the wisps we once resorted to calling ‘ghosts’. In its making visible the invisible, the act of excavation seeks to rescue the intelligible from the darkness of ignorance by reconstituting, piecemeal, fossilised memory. So begins the philosophical conundrum in which Hong Kong born artist Yi To prefigures the materiality of fragmented body, and its reappearance in the virtual as sign.What happens with the immense onslaught of time, its unerring passage? A document, artefact or vestige of life that endures erasure appeals to the unconscious vis a vis aesthetic sensibility before anything else. Like To’s work, that which issues from bygone eras hovers someplace between figuration and abstraction, and occasions a reading that relies, firstly, on intuition. From the presence of the golden spiral in the human ear, to the ability of an amoeboid organism to solve a maze, to the sophistication of the self-assembling flagellum, the wonderment in intuition is perhaps its intimation of intelligent design.To’s intervisuality is thus a holding-in-contradiction of both the spectacle of discovery and the withdrawal of nether worlds that cannot fully be known. Her paintings, with their shadowy forms rendered in thin washes, beget a fragility. They take on the propositional aspects of loss, an eclipse’s negative memory; as with the yet-to-be-discovered relic, what results is the invocation of a waiting. What of the total indifference of these subjects to the indefatigable curiosity of the present? What of the misapprehension of a cave painting that derails studies of early life for another thousand years?The fascination of To in working with the ambiguity of primary forms suggests we approach the mystery of the world as either encrypted, veiled, or an illusion requiring some kind of denudation. Her specific choice of overcast palette – be it soft Verdigris, greying mould, or healing bruise – confounds the interpreter’s authority to strip or lay bare. In Buddhist culture, depictions of young female corpses represent impermanence and the ephemeral nature of identity coherence: the contemplation of their splayed bodies has everything to do with denudation, deconstruction and dispersal. If To’s work is ‘a thought experiment turning the body inside out’, then the significance of this reference is in its anxiety-ridden becoming: from intellectually-bound life to its transformation into bone, gristle and, ultimately, effervescent sign. For the body transcended is precisely what permits its crossing realms human and non-human. Spanning time and space, To’s intervisuality comes to bear in another speculative gesture: a series of spindly sculptures suggestive of techno-syncretic fossils that, like interpretation, is capable of endless recombination given time.A thing of absurd misfortune is that interpretation is the essence of our study, yet at the same time unavoidably perverts it. This, To’s practice works with: achingly unanswerable questions, adumbrate shapes that may withstand temporal wearing, but are otherwise unable return to Earth as concrete form. In To’s work, it is therefore only absence that proposes itself, and must then lay in wait. Nothing to be done. So begins Samuel Beckett’s existential two-act deadlock Waiting for Godot, never so aptly summed as: ‘in which nothing happens. Twice.’Text by Elaine ML Tam","Yi To: To be dispersed, not to disappear","27 Warren Street, W1T 5NB","Wed-Fri 11am-6pm, Sat 12-5pm", 31 May  - 6 Jul 2024  
Alison Jacques,London West End,https://www.galleriesnow.net/shows/angel-with-a-gun-homage-to-guy-brett/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sergio Camargo,https://www.galleriesnow.net/artist/sergio-camargo/,"A distinctive voice in art criticism since the 1960s, Guy Brett followed an independent path in mapping and interpreting contemporary art. Through Brett’s collection, we encounter his constant curiosity and insight accompanied by a disinterest in a market-led view. In this exhibition, we can experience Brett’s hope and belief in the ability of art to let us begin again.Following an encounter in Paris in 1964 with Brazilian artist Sérgio Camargo (1930- 1990), whose disruption of the monochrome is seen through three works included in the exhibition, Brett became particularly interested in developments in Brazilian modernism. This was solidified by his first visit to Brazil in 1965, aged just 22-years-old, to view the São Paulo Biennial as art critic for The Times. There, he encountered artists including Lygia Clark (1920-1988) and Hélio Oiticica (1937-1980), with whom he formed close friendships and whose international reputations are owed in part to Brett’s rigorous, lifelong advocacy. Both artists are significantly represented in this exhibition: Clark’s rare and playful matchbox constructions, as well as her bichos (creatures) and trepantes (climbers), invite audience participation, as does Oiticica’s Parangolé (1966), an experimental cloak intended to be worn by dancing participants. What drew Brett to the work of artists like Oiticica and Clark was a faith in regeneration, in a creative practice that exceeds the body, that both reflects the conditions of the outside world and suggests that another world is possible.Throughout his career, Guy Brett focused on discovering and exhibiting works that were excluded from Eurocentric art historical chronologies. While the British art world at the time cast their gaze towards white male American Pop art and Abstract expressionism, Brett turned his attention to experimental art movements, particularly those originating from Latin America. In a characteristically trailblazing manner, Brett was one of the earliest champions of pioneering women artists.Brett was integral to the Signals initiative, co-publishing the Signals Newsbulletin in 1964 and helping to establish the now legendary gallery, Signals London (1964-66), which manifested an interdisciplinary approach and brought artists to London from across the world. Brett’s ground-breaking 1990 exhibition, Transcontinental: Nine Latin American Artists (Cornerhouse, Manchester and Ikon Gallery, Birmingham), introduced artists including Cildo Meireles (b.1948), Regina Vater (b.1943), Eugenio Dittborn (b.1943) and Jac Leirner (b.1961) to the UK. The same works by Vater and Leirner that featured in Transcontinental, Vater’s Nature Morte (1987-1988) and Leirner’s The One Hundreds (Signatures) (1987), are shown in this current exhibition. Brett described Transcontinental as encompassing ‘the relation, the tension, between the abstract/void and the contingent, localised, historical, urgent and conflicted’.This exhibition would not have been possible without the collaboration of Alexandra Brett, Guy’s long-time partner with whom he shared his life and built his collection. Alison Jacques is immensely grateful to Alexandra and her daughter, Luciana, for the unique, once-in-a-lifetime opportunity to present this historically significant collection. Above all, we are indebted to Guy Brett. We hope this exhibition can play a part in continuing to preserve Brett’s art historical and ever-prescient legacy.",Angel with a Gun: Homage to Guy Brett,"22 Cork Street, W1S 3LZ",Tue-Sat 10am-6pm, 10 May  - 15 Jun 2024  
