galery_name,city_name,exhibition_link,exhibition_image_link,artist_name,artist_link,exhibition_description,exhibition_name,galery_adress,open hours,time_period
Christophe Guye Galerie,Zürich,https://www.galleriesnow.net/shows/yoshinori-mizutani/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Yoshinori Mizutani,https://www.galleriesnow.net/artist/yoshinori-mizutani/,"His photographs demonstrate an innate understanding of how forms, colours, textures and depth translate to the pictorial plane. He is working with a visual vocabulary that has been well established by the work of many contemporary photographers. Mizutani’s work serves as a good gauge of the visual tropes and photographic styles that are prevalent among young photographers in Japan.Yoshinori Mizutani lives and works in Tokyo. Mizutani graduated from the Tokyo College of Photography in 2012. He has won a number of prestigious awards including Japan Photo Award in 2013 as well as Foam Talent Call and Lens Culture Emerging Talents Top 50 in 2014. Since 2012 he has exhibited in many international institutions in Japan, China, Belgium, Great Britain, Italy, and Switzerland, and has published, among others, ‘Tokyo Parrots’, Colors’, ‘Yusurika’ and ‘Hanon’.",Yoshinori Mizutani – Tokyo Whispers,"Dufourstrasse 31, 8008 Zürich","Mon-Fri 10am-6pm, Sat 11am-4pm", 7 Mar  - 1 Jun 2024  
"Eva Presenhuber, Maag Areal",Zürich,https://www.galleriesnow.net/shows/tobias-pils-happy-days/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Tobias Pils,https://www.galleriesnow.net/artist/tobias-pils/,"Happy DaysThis exhibition consists of 2 Triptychs (Happy Days, A Projection), a family of eight paintings and one bronze.It might be the most intimate thus far.Being a body. Being part of a bigger body. A group, maybe. Vis a Vis.Shared consciousness whilst being together. Whilst being apart.Togetherness and Loneliness.Being held and holding each other.Being reflected and mirrored in the opposite.If there is a distance (and there is a lot of it), it’s a distance from proximity.I am Us.It is about fragility, tenderness and vulnerability.Some of these figures have faces without eyes, no mouth, no nose, etc.A nobody who is somebody.A blank surface for the viewer. For projection. A possibility to get rid of my own persona.The painting is just a painting.The painting process (act of painting) is the ultimate transformation- the moment of the unpredictable.Painting is time and dissolves the concept of time at once.I must live through a whole life with a painting so that it can be born.A found egg.Tobias Pils, April 2024",Tobias Pils: Happy Days,"Zahnradstrasse 21, CH-8005","Wed-Fri 12-6pm, Sat 11am-5pm & by appointment", 7 Jun  - 20 Jul 2024  
Fabian Lang,Zürich,https://www.galleriesnow.net/shows/elena-alonso-kind-and-sharp/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Elena Alonso,https://www.galleriesnow.net/artist/elena-alonso/,,Elena Alonso: Kind and Sharp,"Obere Zäune 12, CH-8001","Tue-Fri 10am-6pm, Sat 12-4pm", 7 Jun  - 7 Sep 2024  
"Galerie Eva Presenhuber, Waldmannstrasse",Zürich,https://www.galleriesnow.net/shows/shara-hughes-tree-farm/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Shara Hughes,https://www.galleriesnow.net/artist/sarah-hughes/,"When Hughes moved to New York in 2014, she had been painting interiors, calculated spaces that frame figures and prop-like objects of personal significance. Soon thereafter, she left these rooms, conjuring instead exterior scenes of swamps and lakes, dense woodlands with strokes for leaves and clearings opening to patches of thunderous faraway skies. Some vistas were framed within a proscenium of branches or the aperture of a cresting wave—pictorial devices signaling the image as having been staged. Hughes has described these ongoing works from the last decade as kinds of imaginary landscapes, most literally in that they do not depict specific places. But this further suggests how Hughes appropriates the genre as a way to think about how one might arrange color and shape on a flat surface into something recognizable.Hughes’s paintings are about painting as much as about nature, of trees grown not in soil but sprouted, as if sui generis, from the sluice of underpainting. In Tree Farm, they flaunt their inventiveness, offering the comparative play of difference within a serial format: one tall tree per vertical canvas. Each painting seems to harbor its own light source, palette, and temperature, cultivating within these distinct atmospheres specimens that arc to the physical edges of supports as if heliotropic, crown their enclosures, or fall to the loam where undergrowth rises to meet the detumescent branches. Color is everywhere saturated and pitched to maximum expressive potential, if modulated according to its site. Wits End is a conflagration of reds and signal orange cut with ribbons of turquoise, lapis, and goldenrod; by contrast, Come and Get It is a nocturne of deep purples and red-brown hills, its gangly protagonist standing erect with so many boughs—evocative of limbs—ending in orbs that redouble the celestial flecks legible as stars.Hughes here coaxes ever more possibilities for compositional generation from her evolving lexicon. Prismatic, faceted planes, arcing lines spaced or tightly striated and ordered, clustering daubs and dots, and transitions between these and other modes of applying paint might be endlessly recombined without yielding the same effects. And in any given instance, Hughes near-magically slips between having the paint signify and be: marks stand for foliage or snow or rock even as they visibly remain marks. Look at any section and watch aspects disambiguate and reverse. Like the psychological tool of the bistable image (most famously in Joseph Jastrow’s representation of the duck that is also a rabbit, but not at the same time), Hughes’s paintings point to how visual experience is organized for the maker as much as for the viewer—and how the positionality of both is very literally determinant.The title, Tree Farm, refers to Hughes’s family’s pine tree farm in western Georgia, where she spent time as a child, amidst new growth that in time came to be large enough to fell and replant. Thus does it introduce not only the shifting perspective of passage through a prepared environment, marked by the volatility of light and weather, but also how fantasy and memory mediate the encounter. Here, Hughes is likewise exhibiting for the first time a group of tabletop ceramics. These small sculptures model arboreal varieties, knobby and slender, sprightly and manicured, their glazes crackling and lustrous by turn as befits the process of firing without controlling the outcome. The makeshift grove that results invites movement to see each piece from multiple vantages and to understand them in relation. As with the accompanying paintings, they continue Hughes’s use of the nominal subject of landscape as a heuristic for experiments in generating form.Accompanying the exhibition is a curated selection of paintings by the artist’s father, Joe Hughes, on view in a cabinet next to the main gallery.Suzanne HudsonShara Hughes was born in 1981 in Atlanta, GA, US, and lives and works in Brooklyn, NY, US. She graduated from the Rhode Island School of Design and later attended the Skowhegan School of Painting and Sculpture. Hughes has been the subject of solo exhibitions at Kunsten Museum of Modern Art, Aalborg, DK (2023); FLAG Art Foundation, New York, NY, US (2022); Kunstmuseum Luzern, Lucerne,  CH (2022); Yuz Museum, Shanghai, CN (2021); Contemporary Art Museum St. Louis, St. Louis, MO, US (2021); Garden Museum, London, GB (2021); Aspen Museum of Art, Aspen, CO, US (2021); and Le Consortium, Dijon, FR (2021). She participated in group exhibitions at institutions including NGV International, Melbourne, Australia, AUS (2024); de la Cruz Collection, Miami, FL, US (2023); Vernon House, Newport, RI, US (2023); San Francisco Museum of Modern Art, San Francisco, CA, US (2023); Long Museum, Shanghai, CN (2023); Fondation Vincent van Gogh Arles, FR (2022); Dallas Museum of Art, Dallas, TX, US (2019); and Whitney Biennial 2017, New York, NY, US (2017).",Shara Hughes: Tree Farm,"Waldmannstrasse 6, CH-8001","Wed-Fri 12-6pm, Sat 11am-5pm & by appointment", 7 Jun  - 20 Jul 2024  
Gmurzynska Zürich,Zürich,https://www.galleriesnow.net/shows/attersee-schon-wie-seine-bilder/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Christian Ludwig Attersee,https://www.galleriesnow.net/artist/christian-ludwig-attersee/,"Attersee’s independent trailblazing creative attitude passed through the modes of Viennese Actionism, Fluxus, international Pop and Dada in order to subvert them with virtuosic technique and imaginative and humorous invention always with an eye to the themes of consumption, love, male beauty and food.This exhibition at Galerie Gmurzynska follows his celebrated reemergence in New York after two solo exhibitions there last year as well as the 2023 Los Angeles restaging of the 1987 artist’s carnival “Luna Luna,” featuring Attersee’s – also a champion sailor – boat swing ride.1940 born in Bratislava, Slovakia, Attersee's artistic journey began during his youth when he moved to Austria near Linz and began writing novels, composing music, and creating comics at Lake Attersee1966 Christian Ludwig Attersee adopts his iconic surname ATTERSEE after the lake1966 first solo show in Berlin is followed by exhibitions at the avant-garde Galerie nächst St. Stephan in Vienna and Galerie Bruno Bischofberger in Zürich1977 representation at documenta 6 in Kassel1981 exhibition at the Royal Academy, London1986 exhibition at the Stedelijk Museum Amsterdam and the Nationalgalerie in Berlin, curated by Rudi Fuchs1984 representation of Austria at the Venice Biennale, organized by Hans Hollein1987 Attersee, Joseph Beuys, Georg Baselitz, Jean-Michel Basquiat, Salvador Dali, Keith Haring, David Hockney, Rebecca Horn, Roy Lichtenstein and Jean Tinguely participate in “Luna Luna” carnival by Andre Heller1997 exhibition at the Albertina in Vienna2005 design of the stage set for Stravinsky’s “Petrushka” at the State Opera in Vienna2008 direction of the opera “Salome” by Richard Strauss in Bremen2019 major retrospective at the Belvedere 21 in ViennaThe lasting impact of Attersee on contemporary art can be summed up by contemporary star Jamian Juliano-Villani proclaiming: “He is a genius. We have decided he is more advanced than us.”This exhibition is accompanied by a fully illustrated monographic catalogue published by Kunstforum Wien with contributions from Max Hollein, Ingried Brugger, Daniela Gregori and Rainer Metzger.",Attersee: Schön wie seine Bilder,"Paradeplatz 2, 8001","Mon-Fri 10am-6.30pm, Sat 10am-4pm", 14 Mar  - 31 May 2024  
Gmurzynska Zürich,Zürich,https://www.galleriesnow.net/shows/attersee-schon-wie-seine-bilder-2/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Christian Ludwig Attersee,https://www.galleriesnow.net/artist/christian-ludwig-attersee/,"Attersee’s independent trailblazing creative attitude passed through the modes of Viennese Actionism, Fluxus, international Pop and Dada in order to subvert them with virtuosic technique and imaginative and humorous invention always with an eye to the themes of consumption, love, male beauty and food.This exhibition at Galerie Gmurzynska follows his celebrated reemergence in New York after two solo exhibitions there last year as well as the 2023 Los Angeles restaging of the 1987 artist’s carnival “Luna Luna,” featuring Attersee’s – also a champion sailor – boat swing ride.1940 born in Bratislava, Slovakia, Attersee's artistic journey began during his youth when he moved to Austria near Linz and began writing novels, composing music, and creating comics at Lake Attersee1966 Christian Ludwig Attersee adopts his iconic surname ATTERSEE after the lake1966 first solo show in Berlin is followed by exhibitions at the avant-garde Galerie nächst St. Stephan in Vienna and Galerie Bruno Bischofberger in Zürich1977 representation at documenta 6 in Kassel1981 exhibition at the Royal Academy, London1986 exhibition at the Stedelijk Museum Amsterdam and the Nationalgalerie in Berlin, curated by Rudi Fuchs1984 representation of Austria at the Venice Biennale, organized by Hans Hollein1987 Attersee, Joseph Beuys, Georg Baselitz, Jean-Michel Basquiat, Salvador Dali, Keith Haring, David Hockney, Rebecca Horn, Roy Lichtenstein and Jean Tinguely participate in “Luna Luna” carnival by Andre Heller1997 exhibition at the Albertina in Vienna2005 design of the stage set for Stravinsky’s “Petrushka” at the State Opera in Vienna2008 direction of the opera “Salome” by Richard Strauss in Bremen2019 major retrospective at the Belvedere 21 in ViennaThe lasting impact of Attersee on contemporary art can be summed up by contemporary star Jamian Juliano-Villani proclaiming: “He is a genius. We have decided he is more advanced than us.”This exhibition is accompanied by a fully illustrated monographic catalogue published by Kunstforum Wien with contributions from Max Hollein, Ingried Brugger, Daniela Gregori and Rainer Metzger.",Attersee: Schön wie seine Bilder,"Talstrasse 37, 8001","Mon-Fri 10am-6.30pm, Sat 10am-4pm", 14 Mar  - 31 May 2024  
Hauser & Wirth Bahnhofstrasse 1,Zürich,https://www.galleriesnow.net/shows/modern-masters-5/,https://www.galleriesnow.net/wp-content/uploads/2021/09/Hauser-Wirth-Bahnhofstrasse.jpg,,,,Modern Masters,"Bahnhofstrasse 1, 8001",Tue-Sat 10am-6pm, 7 Jun  - 14 Sep 2024  
Hauser & Wirth Zürich,Zürich,https://www.galleriesnow.net/shows/nairy-baghramian-modele-vivant-se-ployant/,https://www.galleriesnow.net/wp-content/uploads/2018/11/Hauser-Wirth-Zurich-exterior.jpg,Nairy Baghramian,https://www.galleriesnow.net/artist/nairy-baghramian/,"Making reference to the tradition of drawing, painting or sculpting from a live model, as indicated by the French term ‘modèle vivant’ in the series’ title, the Berlin-based artist’s abstract works, as per usual in her practice, grant only approximations and allusions of the human gestalt. Baghramian’s geometric shapes and organic forms, invariably made from cast aluminum and held or supported by armatures, hooks and rods, rather confront their beholders with subtle evocations of poses and postures, demeanors and dispositions. Placed at the margins or dangling from the ceiling of the exhibition space, these sculptures, as they appear to withdraw, stand up or recline (as in her 2023 outdoor work ‘S’adossant (Pauline),’ currently on view at MoMA in New York), poignantly evoke both the social strictures and potential mutability of embodiment, thereby offering striking allegories—or models—of contemporary subject positions.Intensifying her preceding interrogation of the poetics and politics of representing and addressing the human figure, the syntax and placement of her new works—all of which conjure bent or bowed bodies (as suggested by the title addition ‘se ployant’)—starts from the double meaning of the term ‘mass.’ Aligning a central facet of any sculpture, ‘mass’ is palpable even when it is absent or negated. In this new body of work, the artist questions the pressures (figuratively or literally) exerted on the individual elements of any given group arrangement (be it social or artistic, or both). In this way, Baghramian’s abstract works intend to explore the interstices between conforming and retreating and the space of leeway they may offer for perception, critique and reflection.",Nairy Baghramian. Modèle vivant (Se ployant),"Limmatstrasse 270, CH-8005","Tue-Fri 11am-6pm, Sat 11am-5pm", 7 Jun  - 7 Sep 2024  
Hauser & Wirth Zürich,Zürich,https://www.galleriesnow.net/shows/philip-guston-singularities/,https://www.galleriesnow.net/wp-content/uploads/2018/11/Hauser-Wirth-Zurich-exterior.jpg,Philip Guston,https://www.galleriesnow.net/artist/philip-guston/,"Curated in collaboration with Musa Mayer, the artist’s daughter and president of The Guston Foundation, the exhibition explores the liberated motifs and instinctual forms that emerged in Guston’s late works, as they continued to evolve until his death in 1980. When the late work was first shown at the Marlborough Gallery in 1970, critics denounced Guston’s dramatic shift from abstraction toward dark, cartoon-like imagery. Today, the paintings of Guston’s last years are considered milestones of modern art. Well-known paintings will be featured alongside never-before exhibited works. This exhibition in Zurich follows the major retrospective ‘Philip Guston’ at the Tate Modern which closed in February 2024.",Philip Guston. Singularities,"Limmatstrasse 270, CH-8005","Tue-Fri 11am-6pm, Sat 11am-5pm", 7 Jun  - 7 Sep 2024  
Lullin + Ferrari,Zürich,https://www.galleriesnow.net/shows/liminal-moments-2/,https://www.galleriesnow.net/wp-content/uploads/2021/03/Lullin_Ferrari_Extension_2021-1.jpg,,,,Liminal Moments 2,"Limmatstrasse 214, CH-8005","Tue-Fri 12-6pm, Sat 11am-5pm", 7 Jun  - 13 Jul 2024  
