galery_name,gallery_link,gallery_imgs
Christophe Guye Galerie,https://www.galleriesnow.net/gallery/christophe-guye/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Christophe-Guye-Galerie-Yoshinori-Mizutani-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Christophe-Guye-Galerie-Karla-Hiraldo-Voleau.jpg""]"
"Eva Presenhuber, Maag Areal",https://www.galleriesnow.net/gallery/galerie-eva-presenhuber/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/evainvitesmallredpainting_sRGB.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/crop_PILST60232.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/HUGHE60265_detail4.jpg""]"
Fabian Lang,https://www.galleriesnow.net/gallery/fabian-lang/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/05/EA0102_Elena-Alonso.jpg""]"
"Galerie Eva Presenhuber, Waldmannstrasse",https://www.galleriesnow.net/gallery/galerie-eva-presenhuber/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/evainvitesmallredpainting_sRGB.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/crop_PILST60232.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/HUGHE60265_detail4.jpg""]"
Gmurzynska Zürich,https://www.galleriesnow.net/gallery/galerie-gmurzynska/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/02/gmurzynska-New-York-Anh-Duong-3.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/03/galerie-gmurzynska-Paradeplatz-Attersee-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/03/Attersee.jpg""]"
Hauser & Wirth Bahnhofstrasse 1,https://www.galleriesnow.net/gallery/hauser-wirth/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Hauser-Wirth-Los-Angeles-Jason-Rhoades-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Hauser-Wirth-Wooster-Street-Roni-Horn-3.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Jennifer-Rochlin-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Eva-Hesse-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Mary-Heilmann-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-18th-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Isa-Genzken-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Harmony-Korine-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Roni-Horn-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Chillida-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Phyllida-Barlow.jpg""]"
Hauser & Wirth Zürich,https://www.galleriesnow.net/gallery/hauser-wirth/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/03/Hauser-Wirth-Los-Angeles-Jason-Rhoades-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/04/Hauser-Wirth-Wooster-Street-Roni-Horn-3.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Jennifer-Rochlin-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Eva-Hesse-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-22nd-St-Mary-Heilmann-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-18th-St-Rita-Ackermann-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Isa-Genzken-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-London-Harmony-Korine-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Roni-Horn-2.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Hauser-Wirth-Menorca-Chillida-1.jpg"", ""https://www.galleriesnow.net/wp-content/uploads/2024/05/Phyllida-Barlow.jpg""]"
Lullin + Ferrari,https://www.galleriesnow.net/gallery/lullin-ferrari/,[]
Mai 36 Galerie,https://www.galleriesnow.net/gallery/mai-36-galerie/,[]
Peter Kilchmann,https://www.galleriesnow.net/gallery/galerie-peter-kilchmann/,"[""https://www.galleriesnow.net/wp-content/uploads/2024/04/neu2013-_bj_art_performance_-arburg-drawing-194123.jpg""]"
